setting,response,seed,dictionary,RMSE
controlled,square,0,tucker,0.027846891433000565
controlled,square,0,power,0.023988796398043633
controlled,square,0,chebyshev,0.023988798260688782
controlled,square,0,rbf,0.024938547983765602
controlled,square,0,spline,0.024515187367796898
controlled,square,1,tucker,0.028608813881874084
controlled,square,1,power,0.024899102747440338
controlled,square,1,chebyshev,0.024899104610085487
controlled,square,1,rbf,0.025688325986266136
controlled,square,1,spline,0.025219574570655823
controlled,square,2,tucker,0.04114530235528946
controlled,square,2,power,0.03655538335442543
controlled,square,2,chebyshev,0.03655538335442543
controlled,square,2,rbf,0.036781489849090576
controlled,square,2,spline,0.03710590675473213
controlled,square,3,tucker,0.03645162284374237
controlled,square,3,power,0.029955260455608368
controlled,square,3,chebyshev,0.029955264180898666
controlled,square,3,rbf,0.030538324266672134
controlled,square,3,spline,0.03079649619758129
controlled,square,4,tucker,0.026379074901342392
controlled,square,4,power,0.0215185284614563
controlled,square,4,chebyshev,0.02151854708790779
controlled,square,4,rbf,0.022300483658909798
controlled,square,4,spline,0.02192453294992447
controlled,square_cubic,0,tucker,0.007253975607454777
controlled,square_cubic,0,power,0.006667253095656633
controlled,square_cubic,0,chebyshev,0.006666356697678566
controlled,square_cubic,0,rbf,0.007109650876373053
controlled,square_cubic,0,spline,0.007071465253829956
controlled,square_cubic,1,tucker,0.0089266337454319
controlled,square_cubic,1,power,0.008502083830535412
controlled,square_cubic,1,chebyshev,0.008502058684825897
controlled,square_cubic,1,rbf,0.008875786326825619
controlled,square_cubic,1,spline,0.00874275155365467
controlled,square_cubic,2,tucker,0.010384836234152317
controlled,square_cubic,2,power,0.009909696877002716
controlled,square_cubic,2,chebyshev,0.009908854961395264
controlled,square_cubic,2,rbf,0.01017305813729763
controlled,square_cubic,2,spline,0.01017996110022068
controlled,square_cubic,3,tucker,0.01260349340736866
controlled,square_cubic,3,power,0.011541035026311874
controlled,square_cubic,3,chebyshev,0.011540564708411694
controlled,square_cubic,3,rbf,0.012249129824340343
controlled,square_cubic,3,spline,0.01221557892858982
controlled,square_cubic,4,tucker,0.008559035137295723
controlled,square_cubic,4,power,0.00759860360994935
controlled,square_cubic,4,chebyshev,0.007596469949930906
controlled,square_cubic,4,rbf,0.008351943455636501
controlled,square_cubic,4,spline,0.008165176957845688
controlled,tanh,0,tucker,0.1365627646446228
controlled,tanh,0,power,0.13134999573230743
controlled,tanh,0,chebyshev,0.13135001063346863
controlled,tanh,0,rbf,0.12978726625442505
controlled,tanh,0,spline,0.1306985467672348
controlled,tanh,1,tucker,0.15405234694480896
controlled,tanh,1,power,0.14874207973480225
controlled,tanh,1,chebyshev,0.14874207973480225
controlled,tanh,1,rbf,0.14725665748119354
controlled,tanh,1,spline,0.14781557023525238
controlled,tanh,2,tucker,0.19236667454242706
controlled,tanh,2,power,0.1837894767522812
controlled,tanh,2,chebyshev,0.18378946185112
controlled,tanh,2,rbf,0.18258735537528992
controlled,tanh,2,spline,0.1837196946144104
controlled,tanh,3,tucker,0.19547313451766968
controlled,tanh,3,power,0.18542712926864624
controlled,tanh,3,chebyshev,0.18542712926864624
controlled,tanh,3,rbf,0.18380780518054962
controlled,tanh,3,spline,0.1847429871559143
controlled,tanh,4,tucker,0.19702666997909546
controlled,tanh,4,power,0.18984270095825195
controlled,tanh,4,chebyshev,0.18984270095825195
controlled,tanh,4,rbf,0.188261941075325
controlled,tanh,4,spline,0.18902528285980225
controlled,exp,0,tucker,0.011327026411890984
controlled,exp,0,power,0.008932053111493587
controlled,exp,0,chebyshev,0.00893203355371952
controlled,exp,0,rbf,0.010518776252865791
controlled,exp,0,spline,0.009354649111628532
controlled,exp,1,tucker,0.011900828219950199
controlled,exp,1,power,0.010764071717858315
controlled,exp,1,chebyshev,0.010764027945697308
controlled,exp,1,rbf,0.011503778398036957
controlled,exp,1,spline,0.010935667902231216
controlled,exp,2,tucker,0.020070573315024376
controlled,exp,2,power,0.01680549420416355
controlled,exp,2,chebyshev,0.01680547185242176
controlled,exp,2,rbf,0.01831543631851673
controlled,exp,2,spline,0.017627792432904243
controlled,exp,3,tucker,0.01673106662929058
controlled,exp,3,power,0.013667031191289425
controlled,exp,3,chebyshev,0.013666903600096703
controlled,exp,3,rbf,0.014983057044446468
controlled,exp,3,spline,0.014230302534997463
controlled,exp,4,tucker,0.010249665006995201
controlled,exp,4,power,0.00849486980587244
controlled,exp,4,chebyshev,0.008494975045323372
controlled,exp,4,rbf,0.00957263819873333
controlled,exp,4,spline,0.008766823448240757
