domain,dataset,unit_id,unit_label,shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Natural images,CBSD68,cbsd68_001,104010,96x96x3,"(32,32,3)",0,0.04503308981657028,0.043649785220623016,3.0717514644937105,2.5956641335023267,2.5255878375557836,2.699744356061553,0.06579179662171478,moderate,9225,9230,0.020709799835458398,0.21228610002435744,ok,link_refresh_rmse=0.044693273; p_max=4
Natural images,CBSD68,cbsd68_002,107014,96x96x3,"(32,32,3)",0,0.0321647971868515,0.03204880282282829,0.3606251994979947,1.6926380399279206,1.698524159834038,-0.3477482939215977,0.006033004022064245,boundary,9225,9230,0.02459160005673766,0.22951199999079108,ok,link_refresh_rmse=0.032142464; p_max=4
Natural images,CBSD68,cbsd68_003,118015,96x96x3,"(32,32,3)",0,0.049580369144678116,0.04535241797566414,8.527470129713222,4.303018873335675,3.7904749853513837,11.911262838291249,0.11181651217739735,effective,9225,9230,0.02051880001090467,0.22438979987055063,ok,link_refresh_rmse=0.048946194; p_max=4
Natural images,CBSD68,cbsd68_004,207049,96x96x3,"(32,32,3)",0,0.055445414036512375,0.05256321653723717,5.1982612978184255,4.3962121691429905,4.421174876446454,-0.5678230791197136,0.05266387305607709,boundary,9225,9230,0.021909600123763084,0.22062439983710647,ok,link_refresh_rmse=0.055110257; p_max=4
Natural images,CBSD68,cbsd68_005,226060,96x96x3,"(32,32,3)",0,0.03819349408149719,0.035772860050201416,6.3378177082479885,2.493280145481755,2.50644448654654,-0.5279928566647853,0.08083936652488094,moderate,9225,9230,0.018359399866312742,0.19079219992272556,ok,link_refresh_rmse=0.037839677; p_max=4
Natural images,CBSD68,cbsd68_006,28083,96x96x3,"(32,32,3)",0,0.02686637081205845,0.025765983387827873,4.095779932199432,2.05529092041026,2.0201286918484302,1.7108151557839224,0.018875748166857106,boundary,9225,9230,0.026317000156268477,0.24303640006110072,ok,link_refresh_rmse=0.02680805; p_max=4
Natural images,CBSD68,cbsd68_007,29030,96x96x3,"(32,32,3)",0,0.03792494535446167,0.035109009593725204,7.4250225924325175,5.0070728580508375,4.469240248030446,10.741457639379345,0.08721595958294165,effective,9225,9230,0.026085600024089217,0.2230068000499159,ok,link_refresh_rmse=0.037546042; p_max=4
Natural images,CBSD68,cbsd68_008,368037,96x96x3,"(32,32,3)",0,0.04817746952176094,0.04133955016732216,14.193189103363368,4.675588063314133,3.2009938226926096,31.538155642742975,0.2053214302788149,effective,9225,9230,0.01885459991171956,0.24439599993638694,ok,link_refresh_rmse=0.047051981; p_max=4
Natural images,CBSD68,cbsd68_009,388006,96x96x3,"(32,32,3)",0,0.05230330303311348,0.04984971508383751,4.691076484639205,3.5265772987575104,3.3765262107302654,4.254864570248077,0.0734801961482842,moderate,9225,9230,0.024689400102943182,0.2234662000555545,ok,link_refresh_rmse=0.051862698; p_max=4
Natural images,CBSD68,cbsd68_010,41029,96x96x3,"(32,32,3)",0,0.03498915582895279,0.03236398100852966,7.502824112866563,1.4682986437818728,1.6689739983742184,-13.667202884249038,0.0519727574581928,boundary,9225,9230,0.02262579998932779,0.2325091001112014,ok,link_refresh_rmse=0.03478042; p_max=4
Natural images,CBSD68,cbsd68_011,41096,96x96x3,"(32,32,3)",0,0.04093097522854805,0.039193324744701385,4.245319038073417,3.1380713263766813,3.0040315802883257,4.271405336191711,0.0771478274429298,moderate,9225,9230,0.012590399943292141,0.23615209991112351,ok,link_refresh_rmse=0.040569037; p_max=4
Natural images,CBSD68,cbsd68_012,48017,96x96x3,"(32,32,3)",0,0.048957761377096176,0.04078775271773338,16.687872217917533,7.322937874163218,6.868605436978704,6.204237219975451,0.340826599367465,effective,9225,9230,0.01250479998998344,0.22332730004563928,ok,link_refresh_rmse=0.047073904; p_max=4
Natural images,CBSD68,cbsd68_013,48025,96x96x3,"(32,32,3)",0,0.02748442068696022,0.026182055473327637,4.738557994240283,1.9450718655535206,1.8139395243569933,6.741773582705653,0.030421715046975006,boundary,9225,9230,0.019882499938830733,0.2275884998962283,ok,link_refresh_rmse=0.027388327; p_max=4
Natural images,CBSD68,cbsd68_014,71076,96x96x3,"(32,32,3)",0,0.035984188318252563,0.03551498427987099,1.3039172489645354,2.070788032883113,2.0238100475877223,2.268604248691945,0.01969349860414779,boundary,9225,9230,0.029908800031989813,0.23274740017950535,ok,link_refresh_rmse=0.035902694; p_max=4
