domain,dataset,unit_id,unit_label,selection,diagnostic_label,d_link_db,tucker_rmse,ntdpl_rmse,rmse_gain_pct,rank,shape
Natural images,CBSD68,cbsd68_010,41029,bottom-2 by D_link,boundary,0.0519727574581928,0.03498915582895279,0.03236398100852966,7.502824112866563,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_009,388006,bottom-2 by D_link,moderate,0.0734801961482842,0.05230330303311348,0.04984971508383751,4.691076484639205,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_009,388006,top-2 by D_link,moderate,0.0734801961482842,0.05230330303311348,0.04984971508383751,4.691076484639205,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_012,48017,top-2 by D_link,effective,0.340826599367465,0.048957761377096176,0.04078775271773338,16.687872217917533,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_009,388006,median-near by D_link,moderate,0.0734801961482842,0.05230330303311348,0.04984971508383751,4.691076484639205,"(32,32,3)",96x96x3
Natural images,CIFAR-10,cifar10_test_00829,class3_test829,bottom-2 by D_link,boundary,0.010607878555592146,0.00564425578340888,0.005431841127574444,3.763377564475779,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_00148,class5_test148,bottom-2 by D_link,moderate,0.03144107081051698,0.005650965962558985,0.005194955971091986,8.069593667495731,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_00148,class5_test148,top-2 by D_link,moderate,0.03144107081051698,0.005650965962558985,0.005194955971091986,8.069593667495731,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_00392,class6_test392,top-2 by D_link,effective,0.05969891881124205,0.017631903290748596,0.0166615080088377,5.503633192112956,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_00148,class5_test148,median-near by D_link,moderate,0.03144107081051698,0.005650965962558985,0.005194955971091986,8.069593667495731,"(20,20,3)",32x32x3
Object-view,COIL-100,coil_obj064,object 64,bottom-2 by D_link,boundary,0.12586851874259017,0.03783485293388367,0.03587114065885544,5.1902204521841595,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj051,object 51,bottom-2 by D_link,moderate,0.31142720235491994,0.06232805550098419,0.05828685685992241,6.483755362780362,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj051,object 51,top-2 by D_link,moderate,0.31142720235491994,0.06232805550098419,0.05828685685992241,6.483755362780362,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj091,object 91,top-2 by D_link,effective,0.8745945742146556,0.07505238801240921,0.06504254043102264,13.337147353301445,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj051,object 51,median-near by D_link,moderate,0.31142720235491994,0.06232805550098419,0.05828685685992241,6.483755362780362,"(8,12,12,2)",36x48x48x3
Object-view,smallNORB,smallnorb_c3_i4,"category 3, instance 4",bottom-2 by D_link,boundary,0.07717805142917394,0.031497661024332047,0.030077025294303894,4.510289601919034,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c3_i6,"category 3, instance 6",bottom-2 by D_link,moderate,0.15692278142175003,0.028395475819706917,0.026624595746397972,6.236486701448142,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c3_i6,"category 3, instance 6",top-2 by D_link,moderate,0.15692278142175003,0.028395475819706917,0.026624595746397972,6.236486701448142,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c2_i8,"category 2, instance 8",top-2 by D_link,effective,0.39539776181064085,0.038663387298583984,0.03400292992591858,12.0539293070064,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c3_i6,"category 3, instance 6",median-near by D_link,moderate,0.15692278142175003,0.028395475819706917,0.026624595746397972,6.236486701448142,"(12,24,24,2)",18x64x64x2
