domain,dataset,unit_id,unit_label,selection,diagnostic_label,d_link_db,tucker_rmse,ntdpl_rmse,rmse_gain_pct,rank,shape
Natural images,CBSD68,cbsd68_014,71076,bottom-2 by D_link,boundary,0.019458356140492832,0.035990696400403976,0.035938750952482224,0.14433021062957224,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_014,71076,top-2 by D_link,boundary,0.019458356140492832,0.035990696400403976,0.035938750952482224,0.14433021062957224,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_014,71076,median-near by D_link,boundary,0.019458356140492832,0.035990696400403976,0.035938750952482224,0.14433021062957224,"(32,32,3)",96x96x3
Natural images,CIFAR-10,cifar10_test_00040,class4_test40,bottom-2 by D_link,effective,0.03158986407966299,0.007981236092746258,0.007951568812131882,0.3717128558737808,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_00040,class4_test40,top-2 by D_link,effective,0.03158986407966299,0.007981236092746258,0.007951568812131882,0.3717128558737808,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_00040,class4_test40,median-near by D_link,effective,0.03158986407966299,0.007981236092746258,0.007951568812131882,0.3717128558737808,"(20,20,3)",32x32x3
Object-view,COIL-100,coil_obj052,object 52,bottom-2 by D_link,effective,0.39463215057241924,0.05882994830608368,0.056181058287620544,4.502621699888881,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj052,object 52,top-2 by D_link,effective,0.39463215057241924,0.05882994830608368,0.056181058287620544,4.502621699888881,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj052,object 52,median-near by D_link,effective,0.39463215057241924,0.05882994830608368,0.056181058287620544,4.502621699888881,"(8,12,12,2)",36x48x48x3
Object-view,smallNORB,smallnorb_c1_i6,"category 1, instance 6",bottom-2 by D_link,effective,0.22861547918280348,0.025621099397540092,0.02483489364385605,3.0685871105106766,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c1_i6,"category 1, instance 6",top-2 by D_link,effective,0.22861547918280348,0.025621099397540092,0.02483489364385605,3.0685871105106766,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c1_i6,"category 1, instance 6",median-near by D_link,effective,0.22861547918280348,0.025621099397540092,0.02483489364385605,3.0685871105106766,"(12,24,24,2)",18x64x64x2
