domain,dataset,unit_id,unit_label,selection,diagnostic_label,d_link_db,tucker_rmse,ntdpl_rmse,rmse_gain_pct,rank,processed_shape,source_path
Material reflectance,BRDF,brdf_pickled-oak-260,pickled oak 260,bottom-2 by D_link,boundary,0.0012639405511290249,0.006054949481040239,0.006126032210886478,-1.1739607418496099,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\pickled-oak-260.binary
Material reflectance,BRDF,brdf_red-fabric2,red fabric2,bottom-2 by D_link,moderate,0.02611453686323071,0.009554175660014153,0.009484131820499897,0.7331227937058022,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\red-fabric2.binary
Material reflectance,BRDF,brdf_red-fabric2,red fabric2,top-2 by D_link,moderate,0.02611453686323071,0.009554175660014153,0.009484131820499897,0.7331227937058022,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\red-fabric2.binary
Material reflectance,BRDF,brdf_steel,steel,top-2 by D_link,effective,0.9770617312667937,0.0064389524050056934,0.004915998782962561,23.65219567175518,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\steel.binary
Material reflectance,BRDF,brdf_red-fabric2,red fabric2,median-near by D_link,moderate,0.02611453686323071,0.009554175660014153,0.009484131820499897,0.7331227937058022,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\red-fabric2.binary
Spectral natural scenes,Harvard HS,harvard_imgh6,imgh6,bottom-2 by D_link,boundary,0.0004730266216112398,0.004326744005084038,0.004705406259745359,-8.751667633129752,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\imgh6.mat
Spectral natural scenes,Harvard HS,harvard_img3,img3,bottom-2 by D_link,boundary,0.002307722433855584,0.008775046095252037,0.008837350644171238,-0.7100196197591756,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\img3.mat
Spectral natural scenes,Harvard HS,harvard_img3,img3,top-2 by D_link,boundary,0.002307722433855584,0.008775046095252037,0.008837350644171238,-0.7100196197591756,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\img3.mat
Spectral natural scenes,Harvard HS,harvard_img4,img4,top-2 by D_link,boundary,0.004954813023740619,0.004197866655886173,0.0043731979094445705,-4.17667515266477,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\img4.mat
Spectral natural scenes,Harvard HS,harvard_img3,img3,median-near by D_link,boundary,0.002307722433855584,0.008775046095252037,0.008837350644171238,-0.7100196197591756,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\img3.mat
