scene_id,scene_name,difficulty_bin,boundary_bin,difficulty_quartile,boundary_quartile,delta_rmse_missing,delta_sam_missing,pixel_count_rmse,pixel_count_sam
1,balloons,0,0,Q1,Q1,-0.00018376756220064695,0.16785987889307802,28783,28783
1,balloons,0,1,Q1,Q2,0.00014892165109569173,0.1163175940886567,17361,17361
1,balloons,0,2,Q1,Q3,0.00027055460036238914,-0.11298248528734176,12635,12635
1,balloons,0,3,Q1,Q4,-0.0004772702934019877,-2.881326808675472,6757,6757
1,balloons,1,0,Q2,Q1,0.00031571059779937556,1.668722903411352,20192,20192
1,balloons,1,1,Q2,Q2,0.0007449318737269624,0.5091818713436479,19106,19106
1,balloons,1,2,Q2,Q3,0.0006672586691346084,0.27010470368017203,15695,15695
1,balloons,1,3,Q2,Q4,0.00018656498268243443,0.14233364742004723,10543,10543
1,balloons,2,0,Q3,Q1,0.0006732979475591253,2.5958442956994503,11977,11977
1,balloons,2,1,Q3,Q2,0.0012104690541264143,0.8893526700268024,21074,21074
1,balloons,2,2,Q3,Q3,0.0012031405337599459,0.6086966315202406,18301,18301
1,balloons,2,3,Q3,Q4,9.398503046442143e-05,0.19303609877172498,14184,14184
1,balloons,3,0,Q4,Q1,0.0018517011058054294,5.028567012011504,4584,4584
1,balloons,3,1,Q4,Q2,0.0019030316190704367,1.2811741637664598,7995,7995
1,balloons,3,2,Q4,Q3,0.002130595937335672,0.79800154834144,18905,18905
1,balloons,3,3,Q4,Q4,0.0006729179097765729,0.3514233716030762,34052,34052
2,beads,0,0,Q1,Q1,7.515572010314296e-05,8.40825105397375,36307,36307
2,beads,0,1,Q1,Q2,-0.0044951886883560005,2.135889274486549,15374,15374
2,beads,0,2,Q1,Q3,-0.009659249175625951,-2.1069243294541287,8510,8510
2,beads,0,3,Q1,Q4,-0.012556133357774932,-2.6602331745767214,5345,5345
2,beads,1,0,Q2,Q1,0.012021754305423309,18.007624127440977,16131,16131
2,beads,1,1,Q2,Q2,0.0031362887212172726,5.200943170179283,19877,19877
2,beads,1,2,Q2,Q3,-0.001312006203688012,0.8051783731282919,17267,17267
2,beads,1,3,Q2,Q4,-0.004421709200497309,-0.3059598059371993,12261,12261
2,beads,2,0,Q3,Q1,0.021950669568692342,18.03944473849353,9325,9325
2,beads,2,1,Q3,Q2,0.011620901779584808,6.02182004964642,17893,17893
2,beads,2,2,Q3,Q3,0.00749946504838467,2.290572376169892,20411,20411
2,beads,2,3,Q3,Q4,0.003370205105235667,0.910863782547361,17907,17907
2,beads,3,0,Q4,Q1,0.03454740967369622,10.656021776792919,3773,3773
2,beads,3,1,Q4,Q2,0.0267209477658668,4.776147807865234,12392,12392
2,beads,3,2,Q4,Q3,0.02283892133588195,2.741351742953519,19348,19348
2,beads,3,3,Q4,Q4,0.024749231945343803,1.3410377013742905,30023,30023
3,cd,0,0,Q1,Q1,-0.001382529963873772,-0.8177546947478835,47813,47813
3,cd,0,1,Q1,Q2,-0.003330564672938822,-5.159648161102279,9412,9412
3,cd,0,2,Q1,Q3,-0.002907545970561638,-6.653906409873609,5459,5459
3,cd,0,3,Q1,Q4,-0.002841633473855344,-7.826731643493156,2852,2852
3,cd,1,0,Q2,Q1,-0.0019057201197351672,-1.8433171615719575,11598,11598
3,cd,1,1,Q2,Q2,-0.0023638887353767267,-3.536911037395236,25057,25057
3,cd,1,2,Q2,Q3,-0.002131738130170501,-3.5616076001291823,18954,18954
3,cd,1,3,Q2,Q4,-0.002158153283321647,-3.2603632780858955,9927,9927
3,cd,2,0,Q3,Q1,-0.0014736653322743299,-1.716565641548826,4456,4456
3,cd,2,1,Q3,Q2,-0.0020947563796659663,-3.047115105363707,21494,21494
3,cd,2,2,Q3,Q3,-0.001940251760565017,-3.130101167455683,23711,23711
3,cd,2,3,Q3,Q4,-0.002107930443628367,-2.990164973276128,15875,15875
3,cd,3,0,Q4,Q1,0.0019197200651237705,3.409268526389158,1669,1669
3,cd,3,1,Q4,Q2,0.00020259682828194123,-0.4994874176516422,9573,9573
3,cd,3,2,Q4,Q3,0.002172957564538498,-0.25768028701072004,17412,17412
3,cd,3,3,Q4,Q4,0.008137649354348513,0.6231562027095892,36882,36882
4,chart_and_stuffed_toy,0,0,Q1,Q1,-0.0011240391055104902,-1.8897639774850903,36999,36999
4,chart_and_stuffed_toy,0,1,Q1,Q2,-0.000690999150553855,-1.5378167560554183,22113,22113
4,chart_and_stuffed_toy,0,2,Q1,Q3,-0.0009584873941787363,-1.4779179078961366,5417,5417
4,chart_and_stuffed_toy,0,3,Q1,Q4,-0.0017796058386419058,-1.0189977430994848,1007,1007
4,chart_and_stuffed_toy,1,0,Q2,Q1,0.00033537499863068383,2.4756911141418376,22696,22696
4,chart_and_stuffed_toy,1,1,Q2,Q2,-0.00019921728685784177,0.6853206887987986,26024,26024
4,chart_and_stuffed_toy,1,2,Q2,Q3,-0.0008006988661973924,-0.008360648171422232,12877,12877
4,chart_and_stuffed_toy,1,3,Q2,Q4,-0.001411006456177203,0.25753598187737425,3939,3939
4,chart_and_stuffed_toy,2,0,Q3,Q1,0.004909534254475377,18.398686256488133,5284,5284
4,chart_and_stuffed_toy,2,1,Q3,Q2,0.0014492818874655654,5.825408782526022,14251,14251
4,chart_and_stuffed_toy,2,2,Q3,Q3,-0.0007719625867130142,1.3583593030051928,29053,29053
4,chart_and_stuffed_toy,2,3,Q3,Q4,-0.0015132684323424898,0.12311181889117769,16948,16948
4,chart_and_stuffed_toy,3,0,Q4,Q1,0.014872901688650634,37.62482651889614,557,557
4,chart_and_stuffed_toy,3,1,Q4,Q2,0.010295813272252713,14.82859941857174,3148,3148
4,chart_and_stuffed_toy,3,2,Q4,Q3,0.005528338166221275,2.6538005190718956,18189,18189
4,chart_and_stuffed_toy,3,3,Q4,Q4,0.006338246271397454,0.6826572542939287,43642,43642
5,clay,0,0,Q1,Q1,-0.000880416752764404,0.49546692770406975,38887,38887
5,clay,0,1,Q1,Q2,-0.00025743180930055324,0.5527698751568035,13659,13659
5,clay,0,2,Q1,Q3,-0.00016904742789125647,0.5924634675271438,10111,10111
5,clay,0,3,Q1,Q4,-0.0010662938591110569,1.3688566013265404,2879,2879
5,clay,1,0,Q2,Q1,-0.00016121159920408752,2.235507033810829,12857,12857
5,clay,1,1,Q2,Q2,0.0004958524255785813,0.9600954019557465,22078,22078
