difficulty_bin,boundary_bin,difficulty_quartile,boundary_quartile,delta_rmse_missing,delta_sam_missing,scene_count,pixel_count_rmse,pixel_count_sam
0,0,Q1,Q1,-0.000420975699244543,1.0603324104282918,13,433030,433030
1,0,Q2,Q1,0.0019356098907190066,4.852325036697115,13,228583,228583
2,0,Q3,Q1,0.005079382624570736,10.493097366942722,13,125125,125125
3,0,Q4,Q1,0.0105967133023644,15.961729181170037,13,65230,65230
0,1,Q1,Q2,-0.0009039404315780683,-0.3459090305723906,13,215252,215252
1,1,Q2,Q2,0.0010704018752391296,1.1240598485411604,13,284761,284761
2,1,Q3,Q2,0.003326156572754718,3.387878895499218,13,224783,224783
3,1,Q4,Q2,0.008308815517524219,6.44967775007675,13,127172,127172
0,2,Q1,Q3,-0.0015802614906270751,-0.8457181326914044,13,131509,131509
1,2,Q2,Q3,0.00034919474081328885,0.4113932364683315,13,212276,212276
2,2,Q3,Q3,0.0023437293159103566,1.2569979832547087,13,276234,276234
3,2,Q4,Q3,0.006965911910690582,2.3307182973167246,13,231949,231949
0,3,Q1,Q4,-0.0025810680874643684,-1.3854266241437379,13,72177,72177
1,3,Q2,Q4,-0.0008457339749476703,-0.10401707934683128,13,126348,126348
2,3,Q3,Q4,0.0007264365984703691,0.3959999676399334,13,225826,225826
3,3,Q4,Q4,0.006633125916242228,0.9959136076804675,13,427617,427617
