table,p_max,mean,std,band_lower,band_upper,degree,value
curve,1,0.15123738750572052,0.053525849229206085,0.09771153827651444,0.2047632367349266,,
curve,2,0.1091739999450285,0.0687176394857232,0.0404563604593053,0.1778916394307517,,
curve,3,0.08338759202519276,0.06870540976338632,0.01468218226180644,0.1520930017885791,,
curve,4,0.023004312530943895,0.0158324458977444,0.007171866633199495,0.03883675842868829,,
heatmap,1,,,,,0.0,0.36890100387789
heatmap,1,,,,,1.0,0.6310989961221101
heatmap,1,,,,,2.0,
heatmap,1,,,,,3.0,
heatmap,1,,,,,4.0,
heatmap,2,,,,,0.0,0.13036544484754659
heatmap,2,,,,,1.0,0.21614247927950067
heatmap,2,,,,,2.0,0.6534920758729527
heatmap,2,,,,,3.0,
heatmap,2,,,,,4.0,
heatmap,3,,,,,0.0,0.08517533517339876
heatmap,3,,,,,1.0,0.15645213916590697
heatmap,3,,,,,2.0,0.46588466594546335
heatmap,3,,,,,3.0,0.2924878597152309
heatmap,3,,,,,4.0,
heatmap,4,,,,,0.0,0.0760054604093813
heatmap,4,,,,,1.0,0.14452728513906749
heatmap,4,,,,,2.0,0.43035420450957035
heatmap,4,,,,,3.0,0.2577300487803016
heatmap,4,,,,,4.0,0.09138300116167933
