scene_id,scene_name,mask_seed,missing_rate,method_name,hidden_units,lambda_reg,max_iter,batch_size,observed_count,train_count,x_mean,x_std,y_mean,y_std,final_loss,fit_time_sec
1,balloons,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.14501106591697072,0.15438862132629994,0.14508380717703695,0.15493230184938186,0.008579753856445405,3.3842688999138772
2,beads,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.12904613984514085,0.15346700422585738,0.12943280936227428,0.17066102370267716,0.17939855140773972,3.2133967999834567
3,cd,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.07300820038562872,0.11006096969845551,0.07302671851870264,0.1142307943889694,0.07690129838956856,3.4363879999145865
4,chart_and_stuffed_toy,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.15831647741184718,0.2473603872871569,0.15840990875761826,0.24875139933239898,0.01195710279438017,3.277942900080234
5,clay,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.07107741921928555,0.14545481904767407,0.0711849631497033,0.1457882942495082,0.005520249467072501,3.41119940020144
6,cloth,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.17595709515380376,0.13462095021662243,0.17614092303273488,0.14542206411111916,0.13531782004180068,3.4691757999826223
7,egyptian_statue,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.04246720115177561,0.0910573911765137,0.042524324033662055,0.09143807507563269,0.008344936670655412,3.931612600106746
8,face,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.08297863377971512,0.1268856698966964,0.08300367204605139,0.12726833502880988,0.006821668084091907,3.284353599883616
9,fake_and_real_beers,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.3040729289881115,0.15206226282752322,0.3041177189017332,0.15250669344478332,0.006116649422891573,3.6300861998461187
10,fake_and_real_food,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.06986406523814588,0.12162031285646425,0.06998826160578409,0.12316288423478512,0.027319450741548,3.5044016998726875
11,fake_and_real_lemon_slices,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.06775480055801011,0.09630216419872628,0.06773903040723674,0.09803332029587906,0.03391820889548264,3.4713367999065667
12,fake_and_real_lemons,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.08106971207121069,0.12671909817781296,0.08106749929914961,0.12697288072577106,0.004044315684598892,3.5899876998737454
13,fake_and_real_peppers,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.07739962439477134,0.13386732576048968,0.07746482491325588,0.1345227071761538,0.00977921209733074,3.254883199930191
14,fake_and_real_strawberries,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.07251211066637023,0.12134122815893174,0.07252757024218376,0.12185068552649941,0.009620566293152681,3.2209071998950094
15,fake_and_real_sushi,0,0.5,tucker_mlpcal_h16,16,1e-05,1500,8192,4063329,200000,0.037049027806995434,0.08030877625994709,0.03709323153978388,0.08104225186452985,0.019043631677989944,3.365318699972704
