scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
1,balloons,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.08229117840528488,1.0996841192245483,0.14510225768016802,26.774710427398492,6.370199233872537,0.3472404999192804,0.00040695760558543526,0.9954230787959716,0.0069613336288377094,,
1,balloons,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.08229117840528488,1.0996841192245483,0.14510225768016802,134.67033975595737,25.816687321712404,0.3808879000134766,0.0018233934437697585,0.9629304973430748,0.1259551856162897,-0.09726042431713593,
1,balloons,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.08229117840528488,1.0996841192245483,0.14510225768016802,718.7324727430527,124.29450626805419,0.4628967000171542,0.002308622857773407,0.9461370996143192,0.23573474697709834,-0.3177529094182772,0.12919113052116585
2,beads,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.278876930475235,1.3276653289794922,0.1283558544906027,28.189497233147787,5.950142279414042,0.34659780003130436,0.008302899433088403,0.8619987819357169,0.2446422994061049,,
2,beads,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.278876930475235,1.3276653289794922,0.1283558544906027,117.87871375882226,19.626020313493164,0.38121150014922023,0.017147866086395413,0.5578666558535766,1.5525188485155683,-1.206500309080969,
2,beads,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.278876930475235,1.3276653289794922,0.1283558544906027,478.92191861125565,70.22867219271438,0.4669633999001235,0.0188957353383723,0.3977208983061084,2.836059390789721,-3.95283068476359,1.6565850617529692
3,cd,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.2424297034740448,1.209646463394165,0.07301941458842197,34.196908018100984,5.035067123835655,0.36051400005817413,0.0024812102986041256,0.9440463211971752,0.0927783156135062,,
3,cd,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.2424297034740448,1.209646463394165,0.07301941458842197,176.01866965590372,22.421662495604597,0.3809881000779569,0.0054419505953268036,0.8479660875622278,0.48066227879235485,-0.31608687757764176,
3,cd,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.2424297034740448,1.209646463394165,0.07301941458842197,820.5746926208649,103.77653515515728,0.46522710006684065,-0.00018878815735843125,1.087347222798238,-1.231730497697938,3.1766357851844575,-2.0202526633273656
4,chart_and_stuffed_toy,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.13040286302566528,1.137173056602478,0.1583028641291969,22.561579569513526,8.426594521085063,0.3478452998679131,0.00031076099070566446,0.995993132508365,0.004903659668215401,,
4,chart_and_stuffed_toy,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.13040286302566528,1.137173056602478,0.1583028641291969,118.21966681573319,43.04982512830729,0.3828553999774158,0.001919645453678026,0.9341256266651619,0.21138684572975527,-0.15913949496430643,
4,chart_and_stuffed_toy,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.13040286302566528,1.137173056602478,0.1583028641291969,618.2730051938388,221.60231594594242,0.4660913001280278,0.002360916735634446,0.9095269496744134,0.3660372561428737,-0.44464848092567216,0.158594278212857
5,clay,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.053550850600004196,1.094179391860962,0.07098646919139283,46.23443476315674,7.3321254588984806,0.346357700182125,0.00040190493670459753,0.9892282835596193,0.019602722823013626,,
5,clay,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.053550850600004196,1.094179391860962,0.07098646919139283,241.58385698951164,31.271274353163825,0.3880600000265986,0.0008875111950650163,0.9542621041739631,0.1707511504559334,-0.15144957444124627,
5,clay,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.053550850600004196,1.094179391860962,0.07098646919139283,1175.5378739183245,123.71947672677418,0.4696460000704974,0.001411064815883349,0.9057981245098622,0.5428116382729475,-0.9836021877016816,0.5557909986377224
6,cloth,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.09530829638242722,0.878822386264801,0.17604963318142505,49.09078990699901,10.050001592090807,0.41969230002723634,0.002834669312114286,0.9617973336137428,0.07948301257586889,,
6,cloth,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.09530829638242722,0.878822386264801,0.17604963318142505,288.5061665262824,36.05125179673379,0.4532853001728654,0.011250935149134118,0.7581966547133421,1.0525703672259712,-1.1744366071816745,
6,cloth,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.09530829638242722,0.878822386264801,0.17604963318142505,1726.696894494205,141.31411612959872,0.5097141000442207,0.018016702082972576,0.4849659769191634,3.2948314561658547,-7.146741773019632,4.886298533443577
7,egyptian_statue,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.06173622980713844,1.0198729038238525,0.04219070352396003,72.87406559323057,5.72870879219149,0.38597150007262826,0.00014763244879700853,0.9937532288688221,0.015285866460867941,,
7,egyptian_statue,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.06173622980713844,1.0198729038238525,0.04219070352396003,491.89694894964293,25.229141609114627,0.43671709997579455,0.00022719044383699865,0.9853551856806333,0.0721541463396821,-0.07989457858879467,
7,egyptian_statue,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.06173622980713844,1.0198729038238525,0.04219070352396003,2340.352524721984,88.25437756534762,0.45973580004647374,0.00032796977233500726,0.9706036631070337,0.23230490334580253,-0.5526783984499608,0.4097525450054439
8,face,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.06613060086965561,0.9519850015640259,0.08290668986259025,51.214780264908825,6.732001343114356,0.36932890000753105,0.00010593701125896289,0.9976293399419323,0.005062096111684244,,
8,face,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.06613060086965561,0.9519850015640259,0.08290668986259025,343.8387770745217,30.84958890888246,0.4013083998579532,0.0005214809310402707,0.9746135394644035,0.13118466797854972,-0.15560852004982478,
