dataset,task,method,rank,RMSE,NMSE(dB),SAM,Time(s),n_runs
Jasper Ridge,Recon.,Tucker,"(11,11,43)",0.04623 +- 0.00000,-15.958 +- 0.000,9.138 +- 0.000,0.71 +- 0.00,1
Jasper Ridge,Recon.,NTD-PL,"(11,11,43)",0.04302 +- 0.00000,-16.582 +- 0.000,8.158 +- 0.000,16.62 +- 0.00,1
Jasper Ridge,Compl.,Tucker,"(11,11,43)",0.04710 +- 0.00005,-15.794 +- 0.011,9.359 +- 0.028,36.95 +- 1.29,3
Jasper Ridge,Compl.,NTD-PL,"(11,11,43)",0.04342 +- 0.00000,-16.502 +- 0.003,8.204 +- 0.027,44.66 +- 0.31,3
Samson,Recon.,Tucker,"(10,10,35)",0.02626 +- 0.00000,-19.374 +- 0.000,5.703 +- 0.000,0.52 +- 0.00,1
Samson,Recon.,NTD-PL,"(10,10,35)",0.02417 +- 0.00000,-20.094 +- 0.000,5.645 +- 0.000,12.76 +- 0.00,1
Samson,Compl.,Tucker,"(10,10,35)",0.02681 +- 0.00012,-19.189 +- 0.044,5.958 +- 0.098,11.68 +- 1.98,3
Samson,Compl.,NTD-PL,"(10,10,35)",0.02444 +- 0.00001,-19.995 +- 0.009,5.648 +- 0.004,26.61 +- 1.94,3
Urban,Recon.,Tucker,"(43,43,47)",0.04444 +- 0.00000,-13.209 +- 0.000,8.232 +- 0.000,131.36 +- 0.00,1
Urban,Recon.,NTD-PL,"(43,43,47)",0.04285 +- 0.00000,-13.527 +- 0.000,7.944 +- 0.000,193.51 +- 0.00,1
Urban,Compl.,Tucker,"(43,43,47)",0.04538 +- 0.00001,-13.028 +- 0.002,8.464 +- 0.003,928.71 +- 4.55,3
Urban,Compl.,NTD-PL,"(43,43,47)",0.04326 +- 0.00001,-13.443 +- 0.002,7.976 +- 0.010,357.77 +- 2.13,3
Cuprite,Recon.,Tucker,"(35,26,54)",0.01759 +- 0.00000,-27.252 +- 0.000,1.302 +- 0.000,17.55 +- 0.00,1
Cuprite,Recon.,NTD-PL,"(35,26,54)",0.01770 +- 0.00000,-27.200 +- 0.000,1.340 +- 0.000,104.72 +- 0.00,1
Cuprite,Compl.,Tucker,"(35,26,54)",0.01791 +- 0.00001,-27.097 +- 0.004,1.337 +- 0.002,250.99 +- 97.99,3
Cuprite,Compl.,NTD-PL,"(35,26,54)",0.01781 +- 0.00001,-27.145 +- 0.002,1.340 +- 0.001,206.82 +- 9.15,3
