run_id,run_dir,task._target_,task._name,task._group,task.log_level,task.missing_rate,task.seed,data._target_,data._name,data._group,data.path,data.target_shape,data.crop_shape,data.normalize,method._target_,method._name,method._group,method.rank,method.n_iter_max,method.init_n_iter_max,method.init,method.solver_variant,method.stable_beta_update,method.beta_update_stage,method.random_state,method.p_max,method.allow_constant_term,method.use_continuation,method.factor_normalize,method.lr_core,method.lr_factors,method.lambda_core,method.lambda_factors,method.lambda_beta,method.beta_update_method,method.beta_update_interval,filter._target_,filter._name,filter._group,filter.seed,filter.normalize_method,filter.snr_db,filter.bias,exp,exp_mode,missing_rate,observed_rate,mask_seed,RMSE_all,SAM_all,NMSE_dB_all,ERGAS_all,RMSE_missing,SAM_missing,NMSE_dB_missing,ERGAS_missing,fit_time_sec,state_path,ovr.exp,ovr.filter,ovr.filter.normalize_method,ovr.method.n_iter_max,ovr.exp_mode,ovr.data,ovr.data.target_shape,ovr.data.crop_shape,ovr.method.rank,ovr.task,ovr.task.log_level,ovr.task.seed,ovr.task.missing_rate,ovr.method,ovr.method.p_max,ovr.method.init,ovr.method.use_continuation,ovr.method.factor_normalize,ovr.method.beta_update_method,CR,RMSE,NMSE,NMSE_dB,SAM,method.tol,dataset,method_name,task_name,rank,p_max
benchmark/2026-03-30_00-23-17/0,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-17\0,src.tasks.DecomposeTask,decompose,task,0,,,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.TuckerDecomposition,tucker,method,"[11, 11, 43]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,,,,,,,,,,,,0.712070599955041,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-17\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",decompose,0,,,tucker,,,,,,124.3953006219765,0.04622607305645943,0.025360647588968277,-15.958396608563687,9.138477031577338,0.0001,jasper_ridge_hsi,tucker,decompose,"(11, 11, 43)",
benchmark/2026-03-30_00-23-20/0,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-20\0,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,0.0,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.TuckerDecomposition,tucker,method,"[11, 11, 43]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.49984141414141414,0.0,0.046516481786966324,9.264220951668314,-15.903999726648877,23.981560957138893,0.047119252383708954,9.319635520542517,-15.791892507206713,24.26719119538416,35.11918889998924,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-20\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",random-missing-completion,1,0,0.5,tucker,,,,,,,,,,,0.0001,jasper_ridge_hsi,tucker,random-missing-completion,"(11, 11, 43)",
benchmark/2026-03-30_00-23-20/1,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-20\1,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,1.0,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.TuckerDecomposition,tucker,method,"[11, 11, 43]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.5000984848484848,1.0,0.04651879519224167,9.283926238733557,-15.90356756431446,23.950092879316443,0.04714589938521385,9.374267184926621,-15.782356966660714,24.264896832898327,37.85088550002547,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-20\1\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",random-missing-completion,1,1,0.5,tucker,,,,,,,,,,,0.0001,jasper_ridge_hsi,tucker,random-missing-completion,"(11, 11, 43)",
benchmark/2026-03-30_00-23-20/2,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-20\2,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,2.0,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.TuckerDecomposition,tucker,method,"[11, 11, 43]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.4997707070707071,2.0,0.046514395624399185,9.297560015378172,-15.904389087558975,23.97695794761277,0.04703869670629501,9.384547356581466,-15.808924320848687,24.22190522760502,37.87129169999389,multirun\real-hsi-robustness\benchmark\2026-03-30_00-23-20\2\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",random-missing-completion,1,2,0.5,tucker,,,,,,,,,,,0.0001,jasper_ridge_hsi,tucker,random-missing-completion,"(11, 11, 43)",
benchmark/2026-03-30_00-25-17/0,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-17\0,src.tasks.DecomposeTask,decompose,task,0,,,src.data.SamsonHSIData,samson_hsi,data,data/hsi-similar/samson_1.img,"[95, 95]",null,max,src.methods.TuckerDecomposition,tucker,method,"[10, 10, 35]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,,,,,,,,,,,,0.5154588999575935,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-17\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,samson_hsi,"[95,95]",null,"[10,10,35]",decompose,0,,,tucker,,,,,,129.64088397790056,0.02625748286497367,0.011549917323371059,-19.37421124527875,5.702591697090881,0.0001,samson_hsi,tucker,decompose,"(10, 10, 35)",
benchmark/2026-03-30_00-25-19/0,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-19\0,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,0.0,src.data.SamsonHSIData,samson_hsi,data,data/hsi-similar/samson_1.img,"[95, 95]",null,max,src.methods.TuckerDecomposition,tucker,method,"[10, 10, 35]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.49983947723559913,0.0,0.026423688984566287,5.847681512529075,-19.319404196466934,18.883118474722387,0.026745452242099572,5.879542432155693,-19.22297589225451,19.021225179300004,8.877778099966235,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-19\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,samson_hsi,"[95,95]",null,"[10,10,35]",random-missing-completion,1,0,0.5,tucker,,,,,,,,,,,0.0001,samson_hsi,tucker,random-missing-completion,"(10, 10, 35)",
benchmark/2026-03-30_00-25-19/1,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-19\1,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,1.0,src.data.SamsonHSIData,samson_hsi,data,data/hsi-similar/samson_1.img,"[95, 95]",null,max,src.methods.TuckerDecomposition,tucker,method,"[10, 10, 35]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.5001186163790042,1.0,0.026421564619978504,5.857740211555316,-19.320102537192422,18.89112868337069,0.026708400827673107,5.898639839388121,-19.216904881348267,19.026085976751094,13.127442000026349,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-19\1\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,samson_hsi,"[95,95]",null,"[10,10,35]",random-missing-completion,1,1,0.5,tucker,,,,,,,,,,,0.0001,samson_hsi,tucker,random-missing-completion,"(10, 10, 35)",
benchmark/2026-03-30_00-25-19/2,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-19\2,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,2.0,src.data.SamsonHSIData,samson_hsi,data,data/hsi-similar/samson_1.img,"[95, 95]",null,max,src.methods.TuckerDecomposition,tucker,method,"[10, 10, 35]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.49987215001065416,2.0,0.02667978095847724,6.070861526704875,-19.235627981123656,19.10840267411781,0.02698348058657574,6.097179169060633,-19.12714479662227,19.239971850677684,13.032048900029622,multirun\real-hsi-robustness\benchmark\2026-03-30_00-25-19\2\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,samson_hsi,"[95,95]",null,"[10,10,35]",random-missing-completion,1,2,0.5,tucker,,,,,,,,,,,0.0001,samson_hsi,tucker,random-missing-completion,"(10, 10, 35)",
benchmark/2026-03-30_00-26-01/0,multirun\real-hsi-robustness\benchmark\2026-03-30_00-26-01\0,src.tasks.DecomposeTask,decompose,task,0,,,src.data.UrbanHSIData,urban_hsi,data,data/hsi-similar/Urban_R162.mat,"[307, 307]",null,max,src.methods.TuckerDecomposition,tucker,method,"[43, 43, 47]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,,,,,,,,,,,,131.3626201999723,multirun\real-hsi-robustness\benchmark\2026-03-30_00-26-01\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,urban_hsi,"[307,307]",null,"[43,43,47]",decompose,0,,,tucker,,,,,,126.26913884501195,0.044443825240543494,0.04776659189720781,-13.208757441266894,8.231875740250652,0.0001,urban_hsi,tucker,decompose,"(43, 43, 47)",
benchmark/2026-03-30_00-28-15/0,multirun\real-hsi-robustness\benchmark\2026-03-30_00-28-15\0,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,0.0,src.data.UrbanHSIData,urban_hsi,data,data/hsi-similar/Urban_R162.mat,"[307, 307]",null,max,src.methods.TuckerDecomposition,tucker,method,"[43, 43, 47]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.49993941711272044,0.0,0.04477812868017837,8.413272089427231,-13.143667526917266,28.697745381755436,0.04537928320820481,8.467910200909023,-13.027622027225366,28.91944069488898,922.5587834999897,multirun\real-hsi-robustness\benchmark\2026-03-30_00-28-15\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,urban_hsi,"[307,307]",null,"[43,43,47]",random-missing-completion,1,0,0.5,tucker,,,,,,,,,,,0.0001,urban_hsi,tucker,random-missing-completion,"(43, 43, 47)",
