dataset,dataset_label,task_name,task_label,method_name,method_label,rank,metric_label,rmse_mean,rmse_std,nmse_mean,nmse_std,sam_mean,sam_std,fit_time_mean,fit_time_std,n_runs
jasper_ridge_hsi,Jasper Ridge,decompose,Recon.,tucker,Tucker,"(11,11,43)",RMSE,0.04622607305645943,0.0,-15.958396608563687,0.0,9.138477031577338,0.0,0.712070599955041,0.0,1
jasper_ridge_hsi,Jasper Ridge,decompose,Recon.,ntdpl,NTD-PL,"(11,11,43)",RMSE,0.043024692684412,0.0,-16.58178114874669,0.0,8.157901412374596,0.0,16.617827699985355,0.0,1
jasper_ridge_hsi,Jasper Ridge,random-missing-completion,Compl.,tucker,Tucker,"(11,11,43)",RMSE*,0.04710128282507261,4.557252366673543e-05,-15.794391264905371,0.01098905272425724,9.359483354016868,0.028487516058359846,36.9471220333362,1.2925707609875792,3
jasper_ridge_hsi,Jasper Ridge,random-missing-completion,Compl.,ntdpl,NTD-PL,"(11,11,43)",RMSE*,0.043415967375040054,2.773242815561137e-06,-16.502052390320618,0.0025231625867127867,8.203919920969492,0.02721338970717868,44.6647421666809,0.3147687092072684,3
samson_hsi,Samson,decompose,Recon.,tucker,Tucker,"(10,10,35)",RMSE,0.02625748286497367,0.0,-19.37421124527875,0.0,5.702591697090881,0.0,0.5154588999575935,0.0,1
samson_hsi,Samson,decompose,Recon.,ntdpl,NTD-PL,"(10,10,35)",RMSE,0.024170296890696212,0.0,-20.093633360119973,0.0,5.645261503458094,0.0,12.757373099972028,0.0,1
samson_hsi,Samson,random-missing-completion,Compl.,tucker,Tucker,"(10,10,35)",RMSE*,0.02681244455211614,0.00012188299208803923,-19.18900852340835,0.04381441781158954,5.958453813534816,0.09840298416909098,11.679089666674068,1.981209198311319,3
samson_hsi,Samson,random-missing-completion,Compl.,ntdpl,NTD-PL,"(10,10,35)",RMSE*,0.02443704567849636,1.4817598746792234e-05,-19.994674718277373,0.00909041452523127,5.648280539538046,0.004246439144154091,26.611882799984112,1.944459885418255,3
urban_hsi,Urban,decompose,Recon.,tucker,Tucker,"(43,43,47)",RMSE,0.044443825240543494,0.0,-13.208757441266894,0.0,8.231875740250652,0.0,131.3626201999723,0.0,1
urban_hsi,Urban,decompose,Recon.,ntdpl,NTD-PL,"(43,43,47)",RMSE,0.042846575205867335,0.0,-13.526663789507044,0.0,7.943552378149266,0.0,193.51001770002767,0.0,1
urban_hsi,Urban,random-missing-completion,Compl.,tucker,Tucker,"(43,43,47)",RMSE*,0.04537746368192062,6.619292493584612e-06,-13.028337359816994,0.0016914573813094685,8.464293442014139,0.0027900687690681175,928.7117391666785,4.549553076082339,3
urban_hsi,Urban,random-missing-completion,Compl.,ntdpl,NTD-PL,"(43,43,47)",RMSE*,0.043259878953297935,5.850613449393976e-06,-13.443435834937388,0.0015360492549141235,7.9758919978955705,0.009931378627467269,357.7668300000175,2.1344264254383583,3
cuprite_hsi,Cuprite,decompose,Recon.,tucker,Tucker,"(35,26,54)",RMSE,0.017594556687254116,0.0,-27.251905667289805,0.0,1.3023928248935355,0.0,17.551226100011263,0.0,1
cuprite_hsi,Cuprite,decompose,Recon.,ntdpl,NTD-PL,"(35,26,54)",RMSE,0.017699576424937132,0.0,-27.200214779140918,0.0,1.339559616993188,0.0,104.719176899991,0.0,1
cuprite_hsi,Cuprite,random-missing-completion,Compl.,tucker,Tucker,"(35,26,54)",RMSE*,0.01791123558013107,1.031502054477672e-05,-27.097089442808244,0.004124464901822545,1.3367237707646902,0.001627692028233049,250.98564366668384,97.98560590348237,3
cuprite_hsi,Cuprite,random-missing-completion,Compl.,ntdpl,NTD-PL,"(35,26,54)",RMSE*,0.01781177210311095,6.209863820368432e-06,-27.14545709060593,0.002136539573712496,1.3403395313144928,0.0011960514606992978,206.8174021000159,9.152514808089824,3
