scene_id,rank,rank_r1,rank_r2,rank_r3,params,run_dir,RMSE,SAM,NMSE_dB,fit_time_sec
1,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s01,0.020199697299510176,11.801555626916139,-20.437175208026165,10.530502200010233
2,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s02,0.09691936130871398,30.076057200329814,-6.842617455158619,10.514217999996617
3,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s03,0.04286493122471814,31.335260741090003,-10.006058687674308,10.492867499939166
4,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s04,0.037366557904150305,18.755778943439296,-17.945241640605722,10.561743300058879
5,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s05,0.015352972385908808,29.51390107169755,-20.469285580355795,9.697483099997044
6,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s06,0.06442488468815805,10.33155341984375,-10.98162094424206,10.424769300036132
7,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s07,0.01187590642999139,22.593542688130867,-18.534180555255737,10.178606200031936
8,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s08,0.04272783204266414,25.26998140434256,-14.216204681947824,10.208542799926363
9,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s09,0.028196437735172605,32.436153849902205,-15.430308233696788,8.89796249999199
10,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s10,0.030022453573585465,17.961437796125175,-15.837347187750959,9.74951700004749
11,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s11,0.0484083349152227,15.99637061028845,-13.879165469520585,9.423973700031638
12,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s12,0.02877518537862624,10.466787359143353,-22.185107118419435,9.375484699965455
13,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s13,0.03124104579243987,26.70414990447257,-17.16065078684814,10.321370700025
14,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s14,0.021334221871089833,25.760293424783484,-14.894165788085484,11.147137699997984
15,"(19,19,3)",19,19,3,20632,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r19_19_3_s15,0.023524482335432736,23.86701242351443,-16.17129396629064,11.217945900047198
1,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s01,0.019703270422280542,11.694113908983734,-20.65330607718671,11.118942999979481
2,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s02,0.09500439608231276,29.8903216416306,-7.015954293180914,8.619262399966829
3,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s03,0.04266020146876397,31.329998878154917,-10.04764327004175,9.68741539993789
4,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s04,0.036446549521378935,18.589822348552588,-18.161775137340324,9.857472299947403
5,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s05,0.015275799187613053,29.496661403313528,-20.513056144272994,9.609476999961771
6,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s06,0.06362520576422412,10.164712116353112,-11.090109944994584,9.354428200051188
7,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s07,0.011591032092616844,22.81839459401113,-18.745073732427077,10.144144300022162
8,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s08,0.04195396234421197,25.062960103605263,-14.374962156832114,9.985611599986441
9,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s09,0.027579431724857797,32.30720522997022,-15.622486851038191,10.082870100042783
10,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s10,0.029409895156017347,17.79472614470611,-16.01640130024932,8.458552800002508
11,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s11,0.04672195585583019,15.633249474420985,-14.18714806699465,9.118622499983758
12,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s12,0.028678831375901968,10.461425467006919,-22.214240713100892,9.279713400057517
13,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s13,0.03034721463129886,26.482826053796703,-17.412785330687587,9.359084800002165
14,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s14,0.020846815008105167,25.787362610926667,-15.094907684058754,8.522976099979132
15,"(20,20,3)",20,20,3,21773,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r20_20_3_s15,0.02323216282440835,23.75974635134329,-16.27990261795905,9.228503499994986
1,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s01,0.019279072268156002,11.477805404441636,-20.84234981035444,9.393952000071295
2,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s02,0.09337348842375337,29.79109794899407,-7.166356639171933,9.520249400055036
3,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s03,0.042479564674044845,31.341642605022052,-10.0845001628619,8.42127900000196
4,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s04,0.03549321534273576,18.246072220922166,-18.391996635843622,9.06173920002766
5,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s05,0.015215498078551744,29.49985819298428,-20.547411485511912,9.104492799961008
6,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s06,0.06281191968766725,10.03712351678507,-11.201852607730494,9.453869999968447
7,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s07,0.011299881603774348,23.13298803021926,-18.966038035652502,8.75582660001237
8,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s08,0.041272481231442684,25.046214149182994,-14.517210264006213,9.27558889996726
9,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s09,0.027031103014801522,32.35622442818438,-15.796917764270349,9.532747099990956
10,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s10,0.028838540732877144,17.732844302264894,-16.18680521100742,9.586361900088377
11,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s11,0.0451794657670962,15.481139342710552,-14.478746537536175,8.75191819993779
12,"(21,21,3)",21,21,3,22920,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-tucker-rank-sweep\benchmark\r21_21_3_s12,0.028600830104735867,10.440751211649516,-22.23789695806658,9.02208150003571
