rank,rank_r1,rank_r2,rank_r3,params,RMSE_mean,RMSE_std,SAM_mean,SAM_std,NMSE_dB_mean,NMSE_dB_std,fit_time_mean,n
"(19,19,3)",19,19,3,20632,0.036215620325692296,0.021657706582349393,22.191322430934644,7.578384736044465,-15.66602822025855,4.158046183638014,10.182808306673541,15
"(20,20,3)",20,20,3,21773,0.03553844823065479,0.02124658330436724,22.084901755118384,7.599330657262906,-15.82865022135766,4.154344754210007,9.495138493327735,15
"(21,21,3)",21,21,3,22920,0.034919826681525726,0.020891494552136073,21.998771529775937,7.637283367194402,-15.981561434894736,4.153748156117245,9.19192903333654,15
"(22,22,3)",22,22,3,24073,0.034341775158529056,0.020558706644384153,21.84973692498016,7.608452543183217,-16.12774869813534,4.15285772885393,8.90705844667585,15
"(23,23,3)",23,23,3,25232,0.03379385308958528,0.020212326655434768,21.74418278933145,7.652450839071059,-16.266432925887834,4.149943124466979,11.92465927999001,15
"(24,24,3)",24,24,3,26397,0.03330331994917349,0.019887367197826546,21.680301343604217,7.6251439409751045,-16.39175305260846,4.1457398222793405,14.533278573335458,15
"(24,24,4)",24,24,4,27004,0.029907064073186516,0.020474271177293644,17.42302979869513,7.680629503232892,-17.610017056882338,4.655879751939722,8.136000240000431,15
"(25,25,3)",25,25,3,27568,0.03283573854462274,0.019578945296149956,21.633998466295875,7.643456684046116,-16.514658282034745,4.144650246883686,12.626317346662594,15
"(25,25,4)",25,25,4,28224,0.02937999093289735,0.020140952660464773,17.334378234341724,7.680219620219366,-17.766759913515177,4.647403144326977,9.26781186000444,15
"(26,26,3)",26,26,3,28745,0.03239219385655116,0.019269905236105018,21.55380393151607,7.6433767203278595,-16.631468806833173,4.142947778395563,15.767832493331904,15
"(26,26,4)",26,26,4,29452,0.02887913631208958,0.01981074906796195,17.214655522531203,7.698256524127088,-17.917255849124324,4.639445858856337,8.841963526653126,15
"(26,26,5)",26,26,5,30159,0.02693237368211939,0.0203803462240918,14.576508156678374,6.7782781957446305,-18.848817499017244,5.37815558089021,9.224925726667667,15
"(27,27,3)",27,27,3,29928,0.03196603841438608,0.018961611324026833,21.51182313270193,7.657620656078695,-16.744603317721914,4.140218221498526,16.613543453331417,15
"(27,27,4)",27,27,4,30688,0.02840277435041585,0.019483543616525854,17.12678037398102,7.715356390609703,-18.06238692267577,4.630810212796803,8.786981526669114,15
"(28,28,3)",28,28,3,31117,0.031566432340851706,0.0186671342402443,21.40810261116152,7.639761106398081,-16.852231991369255,4.139534533571995,9.572265620009663,15
"(28,28,4)",28,28,4,31932,0.027953702413168482,0.01916767195162654,17.00368564915406,7.6669800621193955,-18.200751056494234,4.623237619227695,8.865731139985535,15
"(29,29,3)",29,29,3,32312,0.031186087686165972,0.018383777365419,21.30943708076113,7.618192594652236,-16.955104676653786,4.1380828311229045,9.06806330665325,15
"(29,29,4)",29,29,4,33184,0.027524015291965468,0.018858591951677627,16.84376978659619,7.601027116173816,-18.33426074129577,4.6154857122979,10.149640179995913,15
"(30,30,3)",30,30,3,33513,0.03083837266810331,0.01812422003465943,21.21846440414328,7.601807373265068,-17.050408049531836,4.136805481231724,9.41405088667913,15
"(30,30,4)",30,30,4,34444,0.027129938800861692,0.01857650341704535,16.689664350113155,7.561627201575898,-18.459036139207477,4.608276404058118,8.94198790000907,15
"(31,31,4)",31,31,4,35712,0.026751622912589153,0.018309743038848615,16.60261383954957,7.51162981978794,-18.58019812694732,4.60292126596771,7.15135008666742,15
"(32,32,4)",32,32,4,36988,0.02639996112583233,0.018039243290498032,16.498804143963845,7.501979519403655,-18.69218865075025,4.594623528531345,8.773753753343287,15
"(33,33,4)",33,33,4,38272,0.02606496603972742,0.01778541418236941,16.432867039665858,7.474123144573992,-18.80122639777306,4.587767464433724,6.114529593335464,15
"(34,34,4)",34,34,4,39564,0.025731378516289698,0.017515564500320085,16.340623708450828,7.453977939428185,-18.909022981762668,4.578529773831334,8.846272986677166,15
"(35,35,4)",35,35,4,40864,0.02541972321263546,0.01726882311211922,16.260779809662026,7.447229652941271,-19.012387309708313,4.5725601597210375,5.922161859999566,15
"(36,36,4)",36,36,4,42172,0.025121929352737094,0.0170261053963831,16.137190375985163,7.4352288424447845,-19.110668125464933,4.565280200968848,9.215076946676708,15
"(36,36,5)",36,36,5,43499,0.022855011285624238,0.017539630372562603,13.034189683609686,6.211422574418611,-20.28971568500338,5.298569009520422,6.00012926000248,15
"(37,37,4)",37,37,4,43488,0.024835268986834545,0.016797050088137033,16.044911192615874,7.429832428380912,-19.206732640394538,4.558777062790994,9.240359613330414,15
"(38,38,4)",38,38,4,44812,0.02456224451229894,0.01657407886950312,15.976686918951971,7.4150360349742686,-19.298667154621675,4.552193913412001,9.182622420003948,15
"(39,39,4)",39,39,4,46144,0.02430668184537555,0.016371186037532126,15.913593367219553,7.380667134280051,-19.38649378418267,4.547359115620924,9.442310840000088,15
"(40,40,4)",40,40,4,47484,0.02405510062119633,0.016164030893305984,15.828919649940566,7.358852880920681,-19.473500421975796,4.542137072373736,9.581417700004144,15
"(40,40,5)",40,40,5,49115,0.021686655331409566,0.016651625301706885,12.652941641752388,6.136214579104017,-20.738647677269974,5.267460895923486,10.638107679997725,15
"(41,41,4)",41,41,4,48832,0.023812028133357907,0.015955849855360634,15.752391492531205,7.326241624718971,-19.557956387513787,4.536708321047348,9.159856446669437,15
"(42,42,4)",42,42,4,50188,0.02358206338124939,0.015756009263194634,15.70324034060368,7.3110124561388705,-19.638898789933354,4.531621291243925,11.898840086682078,15
"(42,42,5)",42,42,5,51983,0.021167470060189302,0.016228130153955175,12.470591341789493,6.072844380341137,-20.94428724607584,5.251593489723228,10.1448321999982,15
"(43,43,4)",43,43,4,51552,0.02336385863759386,0.015572105320359046,15.6504781837763,7.301387869743661,-19.71665174380835,4.5273286861389,16.333478660004523,15
