scene_id,scene_name,method,method_label,RMSE_missing,SAM_missing,NMSE_dB_all,fit_time_sec
1,balloons,tucker,Tucker,0.014305522869863753,8.526988991344396,-23.493066009953488,516.4778724999924
1,balloons,polycal,Tucker + PolyCal(P=4),0.014247316867113113,8.24110858015915,-23.52811491335901,0.48323519999394193
1,balloons,mlpcal,Tucker + MLPCal(H=16),0.014262935146689415,8.342814287852466,-23.51904256872475,12.358440299984068
1,balloons,ntdpl,NTD-PL,0.013630334287881851,7.812792582516037,-23.910124907967088,705.4194565999987
5,clay,tucker,Tucker,0.010861112969953879,25.04313197243335,-23.515449907769778,523.83538460001
5,clay,polycal,Tucker + PolyCal(P=4),0.010768302716314793,24.447911596720743,-23.588949332218828,0.4567611999809742
5,clay,mlpcal,Tucker + MLPCal(H=16),0.010812850669026375,24.69689442208636,-23.553307088152735,10.87328709999565
5,clay,ntdpl,NTD-PL,0.00914435088634491,23.393304954868228,-25.003905430361982,1711.704937800001
10,glass_tiles,tucker,Tucker,0.02165810138460792,9.864756725844188,-18.76678851113529,565.2346296999895
10,glass_tiles,polycal,Tucker + PolyCal(P=4),0.021435432136058807,9.675833917865596,-18.85330572126447,0.40819539997028187
10,glass_tiles,mlpcal,Tucker + MLPCal(H=16),0.02154623344540596,9.76516501242909,-18.813086555038826,9.961172099981923
10,glass_tiles,ntdpl,NTD-PL,0.01837005838751793,7.279278537629205,-20.183089558035086,1225.6914012000052
