missing_rate,method,RMSE*,SAM*
0.1,Tucker + PolyCal(P=2),0.02171 +- 0.01908,8.8195 +- 4.4223
0.1,Tucker + PolyCal(P=3),0.02154 +- 0.01871,8.1791 +- 3.7248
0.1,Tucker + PolyCal(P=4),0.02145 +- 0.01859,7.7987 +- 3.3935
0.3,Tucker + PolyCal(P=2),0.02176 +- 0.01915,11.1631 +- 5.7099
0.3,Tucker + PolyCal(P=3),0.02159 +- 0.01878,10.7761 +- 5.2472
0.3,Tucker + PolyCal(P=4),0.02149 +- 0.01867,10.5901 +- 5.0688
0.5,Tucker + PolyCal(P=2),0.02183 +- 0.01917,11.6900 +- 6.2960
0.5,Tucker + PolyCal(P=3),0.02165 +- 0.01879,11.3647 +- 5.8787
0.5,Tucker + PolyCal(P=4),0.02156 +- 0.01867,11.2181 +- 5.7326
0.7,Tucker + PolyCal(P=2),0.02203 +- 0.01924,11.9671 +- 6.6905
0.7,Tucker + PolyCal(P=3),0.02186 +- 0.01886,11.6731 +- 6.3009
0.7,Tucker + PolyCal(P=4),0.02176 +- 0.01875,11.5381 +- 6.1614
