Rank,scene_id,Scene,RMSE_tucker,RMSE_ntdpl,NMSE_dB_tucker,NMSE_dB_ntdpl,SAM_tucker,SAM_ntdpl,RMSE_delta_tucker_minus_ntdpl,NMSE_dB_delta_tucker_minus_ntdpl,SAM_delta_tucker_minus_ntdpl,RMSE_gain,SAM_gain
"(33, 33, 4)",1,Scene 1,0.014090592032638544,0.013153946087634177,-23.565487618800937,-24.162951285613584,8.143949256691208,7.402313412908914,0.0009366459450043663,0.5974636668126472,0.7416358437822943,0.0009366459450043663,0.7416358437822943
"(33, 33, 4)",2,Scene 2,0.0751169983668946,0.06301808650156078,-9.056063816479165,-10.581524085266906,27.205998550922374,22.443060620002708,0.012098911865333822,1.5254602687877412,4.762937930919666,0.012098911865333822,4.762937930919666
"(33, 33, 4)",3,Scene 3,0.03144436715674234,0.024686533407307552,-12.69724414022078,-14.798899139675932,10.883177761699653,13.030553625249404,0.00675783374943479,2.1016549994551514,-2.147375863549751,0.00675783374943479,-2.147375863549751
"(33, 33, 4)",4,Scene 4,0.026900266349191956,0.023643293135387815,-20.7997719136203,-21.920744181224514,15.83193494852283,14.663648620562316,0.003256973213804141,1.1209722676042126,1.168286327960514,0.003256973213804141,1.168286327960514
"(33, 33, 4)",5,Scene 5,0.01077686954008657,0.009037785477595829,-23.54328244587964,-25.071894383597353,28.201698738183094,26.37572526551236,0.0017390840624907419,1.528611937717713,1.8259734726707322,0.0017390840624907419,1.8259734726707322
"(33, 33, 4)",6,Scene 6,0.05460430058717031,0.05181440214451594,-12.418156968004997,-12.873684113058113,8.809244035881123,8.603220388485163,0.0027898984426543635,0.4555271450531162,0.2060236473959609,0.0027898984426543635,0.2060236473959609
"(33, 33, 4)",7,Scene 7,0.008125330686651902,0.008215374073381658,-21.83069499744378,-21.734969036119196,17.6460970230834,20.774679339206024,-9.004338672975558e-05,-0.09572596132458244,-3.1285823161226247,-9.004338672975558e-05,-3.1285823161226247
"(33, 33, 4)",8,Scene 8,0.030376529045670682,0.02313008093068882,-17.17965887847242,-19.546878791334215,18.453284972298853,12.551970467124855,0.007246448114981863,2.3672199128617954,5.901314505173998,0.007246448114981863,5.901314505173998
"(33, 33, 4)",9,Scene 9,0.019759000064567073,0.017082390589522177,-18.518893863644415,-19.783220160537603,29.361017014800986,23.26417246578194,0.0026766094750448957,1.2643262968931879,6.096844549019046,0.0026766094750448957,6.096844549019046
"(33, 33, 4)",10,Scene 10,0.021267710820716348,0.017999668126542308,-18.831855895228905,-20.280980870682917,10.469000411668237,8.434942733236127,0.00326804269417404,1.449124975454012,2.0340576784321094,0.00326804269417404,2.0340576784321094
"(33, 33, 4)",11,Scene 11,0.03118160991995549,0.027243462353151927,-17.69959767707211,-18.872322343140986,10.759053138759217,9.170914698092492,0.003938147566803562,1.172724666068877,1.5881384406667252,0.003938147566803562,1.5881384406667252
"(33, 33, 4)",12,Scene 12,0.018282437857660958,0.012966645917429678,-26.124787603339485,-29.108916688853785,8.31844678093362,6.676149842393242,0.00531579194023128,2.984129085514301,1.6422969385403778,0.00531579194023128,1.6422969385403778
"(33, 33, 4)",13,Scene 13,0.020614134505928097,0.018134850855924894,-20.77185994627286,-21.88488229113976,22.8849887689314,20.43582772827103,0.002479283650003203,1.113022344866902,2.449161040660371,0.002479283650003203,2.449161040660371
"(33, 33, 4)",14,Scene 14,0.013604008367592279,0.011891952240739426,-18.80236412718352,-19.970638807607514,11.93245035378948,10.898912011316604,0.0017120561268528529,1.1682746804239947,1.0335383424728768,0.0017120561268528529,1.0335383424728768
"(33, 33, 4)",15,Scene 15,0.014830335294444181,0.013065831274795674,-20.178676074932614,-21.278954561465703,17.592663838822236,11.397075792005527,0.0017645040196485069,1.1002784865330888,6.1955880468167095,0.0017645040196485069,6.1955880468167095
