dataset,protocol,rank,target_shape,missing_rate,method,n_pairs,RMSE_missing_gain_mean_pct,RMSE_missing_gain_median_pct,RMSE_missing_wins,RMSE_missing_losses,RMSE_missing_min_gain_pct,RMSE_missing_max_gain_pct,SAM_missing_gain_mean_pct,SAM_missing_gain_median_pct,SAM_missing_wins,SAM_missing_losses,SAM_missing_min_gain_pct,SAM_missing_max_gain_pct,PSNR_missing_delta_mean,PSNR_missing_delta_median,PSNR_missing_wins,SSIM_missing_delta_mean,SSIM_missing_delta_median,SSIM_missing_wins
cave_hsi,block,"(12,12,3)","(128,128)",0.3,ntdpl,45,-37.70883000038279,8.731268364743059,32,13,-771.2873221123311,23.687278627296077,29.23489460483773,27.261524949090333,45,0,1.488822699444386,55.041360631119474,-1.1388233273912896,0.7935599263076867,32,-0.0154510427223227,0.044227932457761965,31
cave_hsi,block,"(12,12,3)","(128,128)",0.5,ntdpl,45,-17.268118569208035,6.6132682569958305,37,8,-787.6348356868365,18.759695133855818,25.67288069275974,26.26106742945235,45,0,0.9053104857162199,44.485251043426615,-0.2427471748543759,0.5942973851835767,37,0.02800222127095029,0.05423562357031014,36
cave_hsi,block,"(12,12,3)","(128,128)",0.7,ntdpl,45,-2.0489718049864027,3.2370274875403995,37,8,-72.5224399281986,11.012889441857364,15.81521371544733,15.769846619079281,45,0,1.9490813645523557,30.411279876037145,-0.07250380949364771,0.2858155220031371,37,0.02433035827975017,0.024208808278890104,35
cave_hsi,block,"(16,16,3)","(128,128)",0.3,ntdpl,45,-9.01873357672212,11.349957058981335,37,8,-304.7493870786979,27.960609257905407,28.89568599273371,29.489423482864613,44,1,-0.16627913564629018,52.588805938067814,0.03182649152624138,1.0464209017512918,37,0.053557746678077015,0.06536431440444224,36
cave_hsi,block,"(16,16,3)","(128,128)",0.5,ntdpl,45,-0.14847613566648987,5.9577820915954565,38,7,-121.99156549740198,17.239798935097227,22.16312658146489,22.22045564396291,44,1,-20.620549385860627,44.374939727382205,0.1550359816014128,0.5335426630752593,38,0.03625246248235356,0.04267763931710561,37
cave_hsi,block,"(16,16,3)","(128,128)",0.7,ntdpl,45,2.4825257893600807,2.7329255733000077,38,7,-9.916004200026176,13.557832686170599,13.413755310651936,13.281131009546545,45,0,3.007723024518748,32.25446069692061,0.22458596105075215,0.24068306320097932,38,0.036366655882193046,0.030175604846677556,36
cave_hsi,block,"(20,20,4)","(128,128)",0.3,ntdpl,45,-1.4113117800728079,12.638975781247838,40,5,-275.53987639819735,24.99560030622584,28.8459425793941,30.163370287225522,45,0,3.8747713229510183,45.664551752879916,0.4225980586434859,1.1736455320183232,40,0.06249983822208851,0.07506597389984021,39
cave_hsi,block,"(20,20,4)","(128,128)",0.5,ntdpl,45,5.648059881783181,6.430049971772712,42,3,-42.101795785096776,15.976061493604382,22.94870311036862,22.19856874958214,45,0,7.576528237738191,41.96841177499696,0.5328029297907839,0.5772719385824541,42,0.05622445791024475,0.05548141884449284,40
cave_hsi,block,"(20,20,4)","(128,128)",0.7,ntdpl,45,4.164081199344011,3.5193631549516353,44,1,-0.8397496818593062,16.323284058505987,13.220891084256275,12.979137596178955,45,0,0.4452784804394162,30.983331853845154,0.3755798489471006,0.3111967783945708,44,0.05220929359223892,0.043941107392086926,41
cave_hsi,block,"(24,24,4)","(128,128)",0.3,ntdpl,45,7.52618488074732,12.889594158294729,42,3,-88.81446526308798,25.34459083621254,28.209053974012466,29.04028933635398,45,0,5.237959513812545,46.671853635530994,0.8306914999799798,1.1985997639555634,42,0.08102015811910018,0.08785109977510663,37
cave_hsi,block,"(24,24,4)","(128,128)",0.5,ntdpl,45,6.532157629322809,6.560615921464826,42,3,-6.719800395736078,16.701786355047627,20.988466763017115,19.95700057439042,45,0,6.067856431595412,37.348014843721025,0.5947066851916987,0.5894008250105198,42,0.06818283318890743,0.06373645347673695,38
