scene_id,method,method_label,latent_update,scalar_map,rank,RMSE,NMSE_dB,SAM,fit_time_sec
1,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.014090592041611671,-23.565487507007802,8.143949596112813,8.430597699974896
1,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.01403055526316166,-23.602575329763628,7.941056351653685,0.48749189998488873
1,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.013992439955472946,-23.62620349770079,7.91311169254193,9.040226400014944
1,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.01315394602715969,-24.162951632670907,7.402313391525318,300.5051534999802
2,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.07511699944734573,-9.056063901535312,27.205998979688488,20.369539800012717
2,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.0723901093006134,-9.377243453733957,21.798036021794406,0.4885986000299454
2,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.07219251245260239,-9.40098452808951,21.688863925252846,8.949565000017174
2,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.0630180835723877,-10.581524030550668,22.44306061913664,220.0869692999986
3,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.03144436702132225,-12.697243578345068,10.883177838194667,85.19585810002172
3,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.030660884454846382,-12.91640710104284,11.131751426270288,0.4993463000282645
3,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.0309585090726614,-12.832500189231379,10.749736622322455,9.993813999928534
3,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.024686533957719803,-14.798898545046589,13.030553676686058,205.08438349998323
4,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.026900265365839005,-20.799772178607295,15.831934795950291,66.66307740000775
4,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.026788117364048958,-20.836059682645228,15.25352466922093,0.533873499953188
4,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.026565270498394966,-20.908618704508335,14.750956212714737,10.124974100035615
4,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.023643292486667633,-21.920744457292166,14.663648622531127,381.88963060002425
5,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.010776869021356106,-23.543282456012783,28.201698688639663,85.89490230000229
5,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.01068627368658781,-23.616608810549767,27.681640753526295,0.5305913999909535
5,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.010680329985916615,-23.621440751083867,27.63167003752978,10.296259400085546
5,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.009037785232067108,-25.071894224372823,26.37572525008339,318.0220379999955
6,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.05460430309176445,-12.418156369769092,8.809243952924808,82.22052860000986
6,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.05407468229532242,-12.50281407330587,8.438190011440362,0.5413969999644905
6,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.05393562093377113,-12.525180124960936,8.362814766883151,9.747257700073533
6,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.051814403384923935,-12.873683753320439,8.603220397123692,298.6125058000034
7,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.008125330321490765,-21.830695482572082,17.64609694307728,60.827187699993374
7,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.008115037344396114,-21.84170523300417,17.09233749581329,0.5255313999950886
7,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.008070860058069229,-21.889119096758463,16.468667929125786,9.130715399980545
7,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.008215374313294888,-21.73496896831608,20.77467934487668,278.86822799997753
8,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.030376529321074486,-17.17965866700185,18.4532845669364,83.58102990000043
8,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.02971593104302883,-17.370634965893558,16.627051481272705,0.4841185000259429
8,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.02901240438222885,-17.57874741267414,15.863203476895105,8.805981199955568
8,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.023130081593990326,-19.546878525855917,12.551970478063101,289.7535290000087
9,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.019758999347686768,-18.518893883338386,29.361016744708095,29.083877000026405
9,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.01948421820998192,-18.64053305466492,26.203358808136407,0.5053960999939591
9,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.019339725375175476,-18.70518716714679,24.989483743564367,8.913686099927872
9,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.017082391306757927,-19.783219989911732,23.264172451607568,279.50711479998427
10,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.021267710253596306,-18.8318558907202,10.46900043844006,12.001230800000485
10,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.0210538599640131,-18.919636588476287,10.44138949324337,0.4866028999676928
10,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.021037517115473747,-18.926381394994113,10.471635649857127,8.882101399940439
10,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.017999667674303055,-20.280980862768153,8.434942737416488,258.4288338999904
11,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.031181609258055687,-17.699598078159884,10.759052749347177,64.23038229998201
11,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.030306698754429817,-17.94679628087272,9.958920890931314,0.5007650000043213
11,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.030194129794836044,-17.97911785160284,9.944239161435526,9.0892756000394
11,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.027243461459875107,-18.87232244195107,9.170914690455186,317.8915256000182
12,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.018282437697052956,-26.124787497469125,8.318446770696859,86.88768850002089
12,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.01773988828063011,-26.386452166686375,8.00885252887975,0.4905331999761984
12,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.01768181473016739,-26.414932618915326,7.97549405513181,8.854255100013688
12,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.012966646812856197,-29.108916300761834,6.676149777901033,280.40900349998265
13,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.020614134147763252,-20.771859771715178,22.884989349152416,88.5371010999952
13,polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,"(33, 33, 4)",0.02030002884566784,-20.905228597373767,21.326681470416762,0.5163565999828279
13,mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,"(33, 33, 4)",0.020302215591073036,-20.904293568931998,21.340874405017665,8.825840099947527
13,ntdpl,NTD-PL,Joint,Polynomial,"(33, 33, 4)",0.01813485100865364,-21.884882605385776,20.43582772834906,290.4990261000057
14,tucker,Tucker,Joint,Identity,"(33, 33, 4)",0.013604008592665195,-18.802364373517943,11.932450183067036,84.7558938000002
