panel,seed,P,Tucker,NTD-PL,gain_rmse
linear,0,1,0.028195826336741447,0.028192780911922455,3.0454248189926147e-06
linear,0,2,0.028195826336741447,0.028191739693284035,4.08664345741272e-06
linear,0,3,0.028195826336741447,0.02818572334945202,1.0102987289428711e-05
linear,0,4,0.028195826336741447,0.028183430433273315,1.2395903468132019e-05
linear,0,5,0.028195826336741447,0.02818159945309162,1.422688364982605e-05
linear,0,6,0.028195826336741447,0.02816738188266754,2.8444454073905945e-05
linear,1,1,0.029968757182359695,0.029962506145238876,6.251037120819092e-06
linear,1,2,0.029968757182359695,0.02995128743350506,1.7469748854637146e-05
linear,1,3,0.029968757182359695,0.029894929379224777,7.382780313491821e-05
linear,1,4,0.029968757182359695,0.029891550540924072,7.720664143562317e-05
linear,1,5,0.029968757182359695,0.02987184375524521,9.69134271144867e-05
linear,1,6,0.029968757182359695,0.029861532151699066,0.00010722503066062927
linear,2,1,0.028553884476423264,0.02850489504635334,4.89894300699234e-05
linear,2,2,0.028553884476423264,0.02843930758535862,0.00011457689106464386
linear,2,3,0.028553884476423264,0.02843896672129631,0.00011491775512695312
linear,2,4,0.028553884476423264,0.02843576669692993,0.00011811777949333191
linear,2,5,0.028553884476423264,0.02840603142976761,0.0001478530466556549
linear,2,6,0.028553884476423264,0.028396476060152054,0.00015740841627120972
linear,3,1,0.029675811529159546,0.029674392193555832,1.4193356037139893e-06
linear,3,2,0.029675811529159546,0.029665779322385788,1.0032206773757935e-05
linear,3,3,0.029675811529159546,0.029665518552064896,1.0292977094650269e-05
linear,3,4,0.029675811529159546,0.02961430698633194,6.15045428276062e-05
linear,3,5,0.029675811529159546,0.029536016285419464,0.0001397952437400818
linear,3,6,0.029675811529159546,0.029498117044568062,0.00017769448459148407
linear,4,1,0.029541153460741043,0.029535355046391487,5.798414349555969e-06
linear,4,2,0.029541153460741043,0.029531994834542274,9.158626198768616e-06
linear,4,3,0.029541153460741043,0.029527148231863976,1.4005228877067566e-05
linear,4,4,0.029541153460741043,0.02952183410525322,1.9319355487823486e-05
linear,4,5,0.029541153460741043,0.02951393462717533,2.7218833565711975e-05
linear,4,6,0.029541153460741043,0.029478052631020546,6.310082972049713e-05
linear,5,1,0.029762862250208855,0.029755834490060806,7.027760148048401e-06
linear,5,2,0.029762862250208855,0.029739584773778915,2.327747642993927e-05
linear,5,3,0.029762862250208855,0.029730990529060364,3.1871721148490906e-05
linear,5,4,0.029762862250208855,0.029712677001953125,5.0185248255729675e-05
linear,5,5,0.029762862250208855,0.029674824327230453,8.803792297840118e-05
linear,5,6,0.029762862250208855,0.029658431187272072,0.00010443106293678284
linear,6,1,0.027826793491840363,0.02779107540845871,3.571808338165283e-05
linear,6,2,0.027826793491840363,0.027739105746150017,8.768774569034576e-05
linear,6,3,0.027826793491840363,0.027713866904377937,0.00011292658746242523
linear,6,4,0.027826793491840363,0.027706190943717957,0.000120602548122406
linear,6,5,0.027826793491840363,0.027706105262041092,0.00012068822979927063
linear,6,6,0.027826793491840363,0.027693258598446846,0.00013353489339351654
linear,7,1,0.027987992390990257,0.027980897575616837,7.094815373420715e-06
linear,7,2,0.027987992390990257,0.02797583118081093,1.2161210179328918e-05
linear,7,3,0.027987992390990257,0.027926189824938774,6.180256605148315e-05
linear,7,4,0.027987992390990257,0.027918685227632523,6.930716335773468e-05
linear,7,5,0.027987992390990257,0.027900198474526405,8.779391646385193e-05
linear,7,6,0.027987992390990257,0.027873801067471504,0.00011419132351875305
linear,8,1,0.028917234390974045,0.028909387066960335,7.847324013710022e-06
linear,8,2,0.028917234390974045,0.02889835275709629,1.888163387775421e-05
linear,8,3,0.028917234390974045,0.028897486627101898,1.9747763872146606e-05
