panel,seed,step,RMSE,p
linear,0,0,0.028195828199386597,1
linear,0,1,0.02827630005776882,1
linear,0,2,0.028204113245010376,1
linear,0,3,0.028221409767866135,1
linear,0,4,0.02823871374130249,1
linear,0,5,0.028202347457408905,1
linear,0,6,0.028201282024383545,1
linear,0,7,0.028199002146720886,1
linear,0,8,0.028197625651955605,1
linear,0,9,0.028198203071951866,1
linear,0,10,0.028197184205055237,1
linear,0,11,0.028196951374411583,1
linear,0,12,0.028195636346936226,1
linear,0,13,0.028194740414619446,1
linear,0,14,0.02819523960351944,1
linear,0,15,0.028195437043905258,1
linear,0,16,0.028195485472679138,1
linear,0,17,0.028194529935717583,1
linear,0,18,0.028193555772304535,1
linear,0,19,0.028193483129143715,1
linear,0,20,0.02819359302520752,1
linear,0,21,0.02819405123591423,1
linear,0,22,0.028193939477205276,1
linear,0,23,0.028193484991788864,1
linear,0,24,0.02819325029850006,1
linear,0,25,0.02819313108921051,1
linear,0,26,0.0281931571662426,1
linear,0,27,0.028192995116114616,1
linear,0,28,0.028192827478051186,1
linear,0,29,0.02819286473095417,1
linear,0,30,0.028192855417728424,1
linear,0,31,0.028192905709147453,1
linear,0,32,0.028192786499857903,1
linear,0,33,0.028192652389407158,1
linear,0,34,0.028192613273859024,1
linear,0,35,0.02819257229566574,1
linear,0,36,0.028192566707730293,1
linear,0,37,0.028192564845085144,1
linear,0,38,0.028192585334181786,1
linear,0,39,0.028192559257149696,1
linear,0,40,0.028192460536956787,1
linear,0,41,0.0281924270093441,1
linear,0,42,0.028192438185214996,1
linear,0,43,0.028192466124892235,1
linear,0,44,0.028192464262247086,1
linear,0,45,0.02819243259727955,1
linear,0,46,0.028192391619086266,1
linear,0,47,0.028192386031150818,1
linear,0,48,0.02819240093231201,1
linear,0,49,0.02819240465760231,1
linear,0,50,0.028192386031150818,1
linear,0,51,0.02819238044321537,1
linear,0,52,0.02819238230586052,1
linear,0,53,0.028192387893795967,1
linear,0,54,0.02819238044321537,1
linear,0,55,0.028192367404699326,1
linear,0,56,0.02819235995411873,1
linear,0,57,0.028192365542054176,1
linear,0,58,0.028192371129989624,1
linear,0,59,0.028192372992634773,1
linear,0,60,0.028192372992634773,1
linear,0,61,0.02819237671792507,1
linear,0,62,0.028192374855279922,1
linear,0,63,0.02819237858057022,1
linear,0,64,0.028192372992634773,1
linear,0,65,0.028192371129989624,1
linear,0,66,0.028192374855279922,1
linear,0,67,0.02819237858057022,1
linear,0,68,0.02819238230586052,1
linear,0,69,0.02819238416850567,1
linear,0,70,0.02819237858057022,1
linear,0,71,0.02819238230586052,1
linear,0,72,0.02819238416850567,1
linear,0,73,0.028192386031150818,1
linear,0,74,0.028192387893795967,1
linear,0,75,0.028192387893795967,1
linear,0,76,0.028192395344376564,1
linear,0,77,0.028192397207021713,1
linear,0,78,0.02819240093231201,1
linear,0,79,0.02819240093231201,1
linear,0,80,0.02819240093231201,1
linear,0,81,0.02819240652024746,1
linear,0,82,0.02819240465760231,1
linear,0,83,0.028192410245537758,1
linear,0,84,0.02819240838289261,1
linear,0,85,0.028192410245537758,1
linear,0,86,0.028192415833473206,1
linear,0,87,0.028192415833473206,1
linear,0,88,0.028192423284053802,1
linear,0,89,0.028192419558763504,1
linear,0,90,0.028192417696118355,1
