scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
1,balloons,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,25.01728919998277,0.023236289620399475,9.04018592847799,-19.22073671574221
1,balloons,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,152.73377180000534,0.021956248208880424,9.3060618553116,-19.712909803209154
1,balloons,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.20689110000967,0.023236341774463654,9.040811558739259,-19.22071744794773
1,balloons,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,145.84184410001035,0.021956199780106544,9.305825226767864,-19.712929111621424
1,balloons,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,20.891194999974687,0.02323770709335804,9.04154836119001,-19.22020705153492
1,balloons,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,145.81464799999958,0.021956926211714745,9.308078670270085,-19.71264176588267
1,balloons,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,20.845733600028325,0.02325054630637169,9.057461223424138,-19.215408878790488
1,balloons,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,156.52438839999377,0.021971192210912704,9.306697600843295,-19.707000164430983
1,balloons,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,24.971521600004053,0.023408211767673492,9.262841536954035,-19.156707730074526
1,balloons,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,166.61989760000142,0.022123238071799278,9.388280429799385,-19.64709883227797
2,beads,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.938427899993258,0.11141753196716309,28.859544655183868,-5.6317577067095765
2,beads,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,143.24989629999618,0.10539137572050095,26.909139394842708,-6.11472677131915
2,beads,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,20.945754600019427,0.11141758412122726,28.859849946715904,-5.6317534462888705
2,beads,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,136.79634999998962,0.10539157688617706,26.909749704256622,-6.114710105877884
2,beads,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,23.27368220000062,0.11141784489154816,28.862360044297663,-5.63173261762558
2,beads,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,138.31981640000595,0.10539190471172333,26.91031647652207,-6.114682859341816
2,beads,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,25.961095500009833,0.11142122745513916,28.864695433370457,-5.631469427668363
2,beads,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,144.87001010001404,0.10539887100458145,26.905417517856403,-6.114108870111265
