snr,snr_value,method,RMSE_mean,RMSE_std,SAM_mean,SAM_std,n_scenes
Clean,999.0,NTD-PL,0.029938670558234057,0.025679278912414536,13.346219621462057,6.474130509266071,15
Clean,999.0,Tucker,0.03190325740724802,0.026805526221617453,14.018157408616785,7.087241352739715,15
40 dB,40.0,NTD-PL,0.029938770892719426,0.025679350534005777,13.346178027979862,6.474577497568753,15
40 dB,40.0,Tucker,0.03190334650377433,0.02680550755294183,14.018274409025596,7.087504052747962,15
30 dB,30.0,NTD-PL,0.02994021276632945,0.025678657373611524,13.347734539110153,6.473368194280141,15
30 dB,30.0,Tucker,0.031904979484776656,0.026804866833731438,14.023488374779484,7.085334683168491,15
20 dB,20.0,NTD-PL,0.02994225813696782,0.02568037812831885,13.39492677127809,6.477151269643946,15
20 dB,20.0,Tucker,0.031917839248975115,0.026801379057403454,14.096263121088791,7.089677132726196,15
10 dB,10.0,NTD-PL,0.03004794872055451,0.025656131681177023,13.896269829940708,6.789015838312708,15
10 dB,10.0,Tucker,0.03203493307034175,0.026770433876420786,14.754485440952227,7.379432069956883,15
