domain,dataset,unit_id,unit_label,selection,diagnostic_label,d_link_db,tucker_rmse,ntdpl_rmse,rmse_gain_pct,rank,shape
Natural images,CBSD68,cbsd68_062,0061,bottom-2 by D_link,boundary,0.0016068551249815012,0.025012636557221413,0.024977944791316986,0.13869695753609268,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_054,0053,bottom-2 by D_link,boundary,0.0019030086923651783,0.017557848244905472,0.017348414286971092,1.1928224632830406,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_057,0056,top-2 by D_link,effective,0.48729621531300005,0.061379048973321915,0.04800739511847496,21.785371520922187,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_064,0063,top-2 by D_link,effective,1.1151191941360796,0.04472436010837555,0.027097290381789207,39.412681777609855,"(32,32,3)",96x96x3
Natural images,CBSD68,cbsd68_067,0066,median-near by D_link,moderate,0.09280268618634256,0.04323994368314743,0.038099728524684906,11.88765460965644,"(32,32,3)",96x96x3
Natural images,CIFAR-10,cifar10_test_06970,class0_test6970,bottom-2 by D_link,boundary,-0.136218398288122,0.0007954457541927695,0.000830884906463325,-4.455256952942025,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_09848,class2_test9848,bottom-2 by D_link,boundary,-0.07750059565767296,0.001116130966693163,0.001123707159422338,-0.6787906576610442,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_05446,class6_test5446,top-2 by D_link,effective,0.4405569628701599,0.008530869148671627,0.00466533238068223,45.312343919743675,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_04753,class2_test4753,top-2 by D_link,effective,0.7889650488489925,0.013994310051202774,0.007008591201156378,49.91827981863237,"(20,20,3)",32x32x3
Natural images,CIFAR-10,cifar10_test_08046,class8_test8046,median-near by D_link,boundary,0.008005539202228799,0.004695801064372063,0.004523543640971184,3.668328812049318,"(20,20,3)",32x32x3
Object-view,COIL-100,coil_obj088,object 88,bottom-2 by D_link,boundary,0.01723460855981041,0.02797575481235981,0.027552641928195953,1.512427053360231,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj082,object 82,bottom-2 by D_link,boundary,0.024117051424006164,0.03924905136227608,0.03888674080371857,0.9231065362913264,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj044,object 44,top-2 by D_link,effective,0.7156737262999014,0.09583733230829239,0.08369246125221252,12.672380129500977,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj091,object 91,top-2 by D_link,effective,0.8745945742146556,0.07505238801240921,0.06504254043102264,13.337147353301445,"(8,12,12,2)",36x48x48x3
Object-view,COIL-100,coil_obj013,object 13,median-near by D_link,moderate,0.20645950962024126,0.049991197884082794,0.04729528725147247,5.392770621063072,"(8,12,12,2)",36x48x48x3
Object-view,smallNORB,smallnorb_c3_i4,"category 3, instance 4",bottom-2 by D_link,boundary,0.07717805142917394,0.031497661024332047,0.030077025294303894,4.510289601919034,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c3_i7,"category 3, instance 7",bottom-2 by D_link,boundary,0.08573441813390154,0.027546213939785957,0.025855660438537598,6.137153748038798,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c2_i9,"category 2, instance 9",top-2 by D_link,effective,0.6914377021800757,0.047112151980400085,0.04000158607959747,15.092848876359538,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c2_i7,"category 2, instance 7",top-2 by D_link,effective,1.048451797482231,0.047781143337488174,0.03797389939427376,20.525343803399196,"(12,24,24,2)",18x64x64x2
Object-view,smallNORB,smallnorb_c2_i4,"category 2, instance 4",median-near by D_link,moderate,0.26367626347555345,0.0451701283454895,0.04072718694806099,9.836016766315357,"(12,24,24,2)",18x64x64x2
