domain,dataset,unit_id,unit_label,shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Natural images,CBSD68,cbsd68_009,388006,96x96x3,"(32,32,3)",0,0.05230330303311348,0.04984971508383751,4.691076484639205,3.5265772987575104,3.3765262107302654,4.254864570248077,0.0734801961482842,moderate,9225,9230,0.03185540018603206,0.19333090004511178,ok,link_refresh_rmse=0.051862698; p_max=4
Natural images,CBSD68,cbsd68_010,41029,96x96x3,"(32,32,3)",0,0.03498915582895279,0.03236398100852966,7.502824112866563,1.4682986437818728,1.6689739983742184,-13.667202884249038,0.0519727574581928,boundary,9225,9230,0.022995500126853585,0.18247739993967116,ok,link_refresh_rmse=0.03478042; p_max=4
Natural images,CBSD68,cbsd68_012,48017,96x96x3,"(32,32,3)",0,0.048957761377096176,0.04078775271773338,16.687872217917533,7.322937874163218,6.868605436978704,6.204237219975451,0.340826599367465,effective,9225,9230,0.01299260021187365,0.1941499998793006,ok,link_refresh_rmse=0.047073904; p_max=4
Natural images,CIFAR-10,cifar10_test_00148,class5_test148,32x32x3,"(20,20,3)",0,0.005650965962558985,0.005194955971091986,8.069593667495731,1.2927200522952185,1.201273126301427,7.073992998826618,0.03144107081051698,moderate,2489,2494,0.048033899860456586,0.09517630003392696,ok,link_refresh_rmse=0.0056305476; p_max=4
Natural images,CIFAR-10,cifar10_test_00392,class6_test392,32x32x3,"(20,20,3)",0,0.017631903290748596,0.0166615080088377,5.503633192112956,1.6293333699452648,1.4644042535733814,10.122490548231019,0.05969891881124205,effective,2489,2494,0.0034483999479562044,0.08108440018258989,ok,link_refresh_rmse=0.017511133; p_max=4
Natural images,CIFAR-10,cifar10_test_00829,class3_test829,32x32x3,"(20,20,3)",0,0.00564425578340888,0.005431841127574444,3.763377564475779,0.3199112383712797,0.31694445815990724,0.9273760517063543,0.010607878555592146,boundary,2489,2494,0.004019799875095487,0.08415549993515015,ok,link_refresh_rmse=0.0056373668; p_max=4
Object-view,COIL-100,coil_obj051,object 51,36x48x48x3,"(8,12,12,2)",0,0.06232805550098419,0.05828685685992241,6.483755362780362,3.529724434406482,2.8441858443057413,19.42187280736019,0.31142720235491994,moderate,3750,3755,0.05655910004861653,1.1957501999568194,ok,link_refresh_rmse=0.06013291; p_max=4
Object-view,COIL-100,coil_obj064,object 64,36x48x48x3,"(8,12,12,2)",0,0.03783485293388367,0.03587114065885544,5.1902204521841595,1.0505725260165342,0.910788827693622,13.30547819034744,0.12586851874259017,boundary,3750,3755,0.052187199937179685,1.6438280998263508,ok,link_refresh_rmse=0.037290536; p_max=4
Object-view,COIL-100,coil_obj091,object 91,36x48x48x3,"(8,12,12,2)",0,0.07505238801240921,0.06504254043102264,13.337147353301445,17.527475125660505,5.689926698448381,67.5371001376106,0.8745945742146556,effective,3750,3755,0.06322550005279481,1.641711900010705,ok,link_refresh_rmse=0.067863271; p_max=4
Object-view,smallNORB,smallnorb_c2_i8,"category 2, instance 8",18x64x64x2,"(12,24,24,2)",0,0.038663387298583984,0.03400292992591858,12.0539293070064,0.6212039032796848,0.5400695659685463,13.060822200695249,0.39539776181064085,effective,17116,17121,0.05104979989118874,1.2276340001262724,ok,link_refresh_rmse=0.036942817; p_max=4
Object-view,smallNORB,smallnorb_c3_i4,"category 3, instance 4",18x64x64x2,"(12,24,24,2)",0,0.031497661024332047,0.030077025294303894,4.510289601919034,0.7879370787765743,0.7496228776385977,4.862596541016552,0.07717805142917394,boundary,17116,17121,0.046042999951168895,1.257928199833259,ok,link_refresh_rmse=0.03121903; p_max=4
Object-view,smallNORB,smallnorb_c3_i6,"category 3, instance 6",18x64x64x2,"(12,24,24,2)",0,0.028395475819706917,0.026624595746397972,6.236486701448142,0.7187536932497347,0.706865566315474,1.653991770186296,0.15692278142175003,moderate,17116,17121,0.03903570002876222,0.8668744000606239,ok,link_refresh_rmse=0.027887078; p_max=4
