domain,dataset,unit_id,unit_label,selection,diagnostic_label,d_link_db,tucker_rmse,ntdpl_rmse,rmse_gain_pct,rank,processed_shape,source_path
Material reflectance,BRDF,brdf_specular-orange-phenolic,specular orange phenolic,bottom-2 by D_link,boundary,1.222997455741161e-05,0.0029764713253825,0.002997012110427,-0.6901052554837366,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\specular-orange-phenolic.binary
Material reflectance,BRDF,brdf_specular-blue-phenolic,specular blue phenolic,bottom-2 by D_link,boundary,7.16275373882367e-05,0.0035010466817766,0.0035244680475443,-0.6689818187694643,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\specular-blue-phenolic.binary
Material reflectance,BRDF,brdf_yellow-matte-plastic,yellow matte plastic,top-2 by D_link,effective,0.8496265232065535,0.0033124724868685,0.0029412207659333,11.207692211991022,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\yellow-matte-plastic.binary
Material reflectance,BRDF,brdf_steel,steel,top-2 by D_link,effective,0.9770617312667936,0.0064389524050056,0.0049159987829625,23.65219567175518,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\steel.binary
Material reflectance,BRDF,brdf_dark-blue-paint,dark blue paint,median-near by D_link,moderate,0.0280783506340779,0.0066013718023896,0.0066053573973476,-0.0603752534681382,"(12,12,16,2)",32x32x64x3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\dark-blue-paint.binary
Spectral natural scenes,Harvard HS,harvard_imgg6,imgg6,bottom-2 by D_link,boundary,-4.169156651014637e-06,0.0097014382481575,0.009974954649806,-2.819338686204261,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\imgg6.mat
Spectral natural scenes,Harvard HS,harvard_imgg8,imgg8,bottom-2 by D_link,boundary,1.1339509828084304e-05,0.0023184823803603,0.0026554160285741,-14.532508466222378,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\imgg8.mat
Spectral natural scenes,Harvard HS,harvard_imga4,imga4,top-2 by D_link,effective,0.0696486139352586,0.0116093913093209,0.0108743207529187,6.3316890336191385,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\imga4.mat
Spectral natural scenes,Harvard HS,harvard_imgd0,imgd0,top-2 by D_link,effective,0.1617680394426618,0.0194246582686901,0.018115047365427,6.742002279515031,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\imgd0.mat
Spectral natural scenes,Harvard HS,harvard_img4,img4,median-near by D_link,boundary,0.0049548130237406,0.0041978666558861,0.0043731979094445,-4.17667515266477,"(32,32,8)",128x128x31,C:\Users\mrkys\workspace\NTD-PL\data\CZ_hsdbi\img4.mat
